FID,SHAPE,BEZIRK,KREUZUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AMPELOGD.fid-7d8850_14a347986c2_3445,POINT (16.343226994041597 48.198985890831864),7,Lindeng.-Schottenfeldg.,333,
AMPELOGD.fid-7d8850_14a347986c2_3446,POINT (16.348829400780165 48.240903056486054),19,Krottenbachstr.-Billrothstr./Pyrkerg.,335,
AMPELOGD.fid-7d8850_14a347986c2_3447,POINT (16.39964783066621 48.13795056130408),10,Laaer-Berg-Strasse-Ober Laaer Str./Leopd.St,337,
AMPELOGD.fid-7d8850_14a347986c2_3448,POINT (16.390444875227832 48.21057562208781),3,Löweng.-Untere Viaduktg.,339,
AMPELOGD.fid-7d8850_14a347986c2_3449,POINT (16.352100028135617 48.18774826060003),5,Reinprechtsd. Str.-Margaretenstr.,593,
AMPELOGD.fid-7d8850_14a347986c2_344a,POINT (16.279600015726786 48.16324389929839),13,Speisinger Strasse-Riedelg.,594,
AMPELOGD.fid-7d8850_14a347986c2_344b,POINT (16.28099394182079 48.19219547727911),14,Hadikg.-Guldenbr./Guldeng.,597,
AMPELOGD.fid-7d8850_14a347986c2_344c,POINT (16.32270588981691 48.13787852530888),23,Perfektastr.-ON 10,598,
AMPELOGD.fid-7d8850_14a347986c2_344d,POINT (16.319409189072754 48.20117700015739),15,Johnstr.-Oeverseestr.,600,
AMPELOGD.fid-7d8850_14a347986c2_344e,POINT (16.409683939161887 48.28507709816767),21,Jedlersd. Str.-Hanreiterg.,601,
AMPELOGD.fid-7d8850_14a347986c2_344f,POINT (16.412071615560443 48.236127007645),22,Donau City-L. Bernst. Aus. ACV,606,
AMPELOGD.fid-7d8850_14a347986c2_3450,POINT (16.31554813805201 48.2235221572321),17,Hernalser Hptstr.-Heigerleinstr.,610,
AMPELOGD.fid-7d8850_14a347986c2_3451,POINT (16.264147164541807 48.201150682399444),14,Linzer Str.-Bahnhofstr.,611,
AMPELOGD.fid-7d8850_14a347986c2_3452,POINT (16.336905038170805 48.20264858765303),15,Neubaugürtel-Sorbaitg.,616,
AMPELOGD.fid-7d8850_14a347986c2_3453,POINT (16.310658064461784 48.21148608134487),16,Hutteng.-Hasnerstr.,626,
AMPELOGD.fid-7d8850_14a347986c2_3454,POINT (16.33891638687459 48.176153489354945),12,Eichenstr.-ON 8-26,628,
AMPELOGD.fid-7d8850_14a347986c2_3455,POINT (16.260841970777545 48.20182305682497),14,Linzer Str.-Rosentalg.,631,
AMPELOGD.fid-7d8850_14a347986c2_3456,POINT (16.469231575599537 48.22407978936997),22,Erzherzog Karl-Str.-Zschokkeg.,720,
AMPELOGD.fid-7d8850_14a347986c2_3457,POINT (16.273210604549952 48.18767383875848),13,Hietzinger Hptstr.-Testarellog.,724,
AMPELOGD.fid-7d8850_14a347986c2_3458,POINT (16.408078993047976 48.223337298689444),2,Handelskai-Wachaustr.,726,
AMPELOGD.fid-7d8850_14a347986c2_3459,POINT (16.464402079983195 48.26184381485917),22,Rautenweg-Percostr./Obdachg.,731,
AMPELOGD.fid-7d8850_14a347986c2_345a,POINT (16.348953468267265 48.20424640543215),7,Burgg.-Neubaug.,732,
AMPELOGD.fid-7d8850_14a347986c2_345b,POINT (16.338571759755222 48.181509501423264),12,Längenfeldg.-Steinbauerg.,733,
AMPELOGD.fid-7d8850_14a347986c2_345c,POINT (16.387202309491446 48.240649574331954),20,Handelskai-Milleniumstower,734,
