FID,SHAPE,BEZIRK,STRNAM,GELTUNGSBEREICH,ZEITRAUM,DAUER,SE_SDO_ROWID,SE_ANNO_CAD_DATA,GUELTIG_VON
KURZPARKSTREIFENOGD.355013,"LINESTRING (16.32987669753954 48.191430068955164, 16.32832051772071 48.19133133175084)",15,Mariahilfer Straﬂe,195 bis 209,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355013,,2012-09-30
KURZPARKSTREIFENOGD.355014,"LINESTRING (16.329895719059035 48.191557353030376, 16.328908230386958 48.191500019319335)",15,Mariahilfer Straﬂe,178 bis 182,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355014,,2012-09-30
KURZPARKSTREIFENOGD.355015,"LINESTRING (16.328694077199618 48.191480913241236, 16.328360949411632 48.191458616396126)",15,Mariahilfer Straﬂe,184 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355015,,2012-09-30
KURZPARKSTREIFENOGD.355016,"LINESTRING (16.325449208290664 48.190987510685616, 16.324047289339028 48.190638646721034)",15,Mariahilfer Straﬂe,198 bis 204,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355016,,2012-09-30
KURZPARKSTREIFENOGD.355017,"LINESTRING (16.325812355920498 48.19092198427111, 16.324634829260432 48.19063096904571, 16.32424937460559 48.19054024151664, 16.323775887505683 48.19043677456914, 16.323285741705934 48.19034603257856)",15,Mariahilfer Straﬂe,gg¸. 198 bis 223,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355017,,2012-09-30
KURZPARKSTREIFENOGD.355018,"LINESTRING (16.470173752892457 48.23561634206347, 16.469839979958913 48.235554280331435)",22,Quadenstraﬂe,11 ,Mo.-Fr. (w.) v. 8-16h,"1,5 h",355018,,2009-12-15
KURZPARKSTREIFENOGD.355019,"LINESTRING (16.288229508911307 48.17048599998566, 16.2880476750433 48.170452132105574)",13,Feldkellergasse,1a ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355019,,2009-11-13
KURZPARKSTREIFENOGD.355020,"LINESTRING (16.348783213367426 48.24030189698186, 16.348793154173794 48.24025535757425, 16.34880735858369 48.24020596911956, 16.348940928524353 48.239887785257366)",19,Billrothstraﬂe,55 bis 59,"Mo.-Fr. (w.) v. 8.30-18h, Sa. (w.) v. 8.30-13h","1,5 h",355020,,2010-07-08
KURZPARKSTREIFENOGD.355021,"LINESTRING (16.265265364359323 48.15187089016466, 16.26504404477469 48.15189203958774)",23,Endresstraﬂe,114 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355021,,2005-07-04
KURZPARKSTREIFENOGD.355022,"LINESTRING (16.26909066046116 48.191370845008024, 16.269191152428935 48.191323899390724)",13,Auhofstraﬂe,153 ,"Mo.-Fr. (w.) v. 8-18h, Sa. (w.) v. 8-12h","1,5 h",355022,,2010-07-16
