FID,OBJECTID,SHAPE,KATEGORIE_TXT,ADRESSE,FLAECHE,SPORTSTAETTEN_ART,WEBLINK1,SE_ANNO_CAD_DATA
SPORTSTAETTENOGD.1224,1224,POINT (16.469122356415042 48.216887006590404),Schulsport outdoor,"21., Kapellenweg 35",700,Hartplatz 700 m≤,,
SPORTSTAETTENOGD.1225,1225,POINT (16.409644938013347 48.253420036385),Turnsaal,"21., Kinzerplatz 9",354,Turnsaal 154 m≤<br />Turnsaal 200 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1226,1226,POINT (16.448829897098726 48.28218288020525),Schulsport outdoor,"21., Lavantgasse 35",4000,Rasenfl‰che 4000 m≤,,
SPORTSTAETTENOGD.1227,1227,POINT (16.44884339065975 48.28219186003407),Turnsaal,"21., Lavantgasse 35",236,Turnsaal 236 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1228,1228,POINT (16.4198516758244 48.27806049577085),Schulsport outdoor,"21., Marco-Polo-Platz 9",1200,Hartplatz 1200 m≤,,
SPORTSTAETTENOGD.1229,1229,POINT (16.419865163224433 48.27806947900973),Turnsaal,"21., Marco-Polo-Platz 9",405,Turnsaal 405 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1230,1230,POINT (16.38098712458527 48.29421821826059),Schulsport outdoor,"21., Mayerweckstraﬂe 1",52200,"Rasenspielfelder,<br />Laufbahn,<br />Mehrzweckfeld,<br />LA-Anlagen,<br />Rasenfl‰che gesamt 52200 m≤",http://strebersdorf.kphvie.at/,
SPORTSTAETTENOGD.1231,1231,POINT (16.409991038002254 48.25614094791373),Schulsport outdoor,"21., Mengergasse 33",174,Hartplatz 174 m≤,,
SPORTSTAETTENOGD.1232,1232,POINT (16.410342247734143 48.2565071005213),Turnsaal,"21., Ostmarkgasse 30",451,Turnsaal 294 m≤<br />Turnsaal 157 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1233,1233,POINT (16.44431987789691 48.27190746072204),Schulsport outdoor,"21., Pastorstraﬂe 29",1618,Hartplatz 1618 m≤,http://www.wien.gv.at/freizeit/sportamt/sportstaetten/hallen/grossfeld.html,
SPORTSTAETTENOGD.1234,1234,POINT (16.405238996015317 48.25646927581327),Turnsaal,"21., Patrizigasse 2",663,Turnsaal 1 283 m≤<br />Turnsaal 2 283 m≤<br />Gymnastikraum 97 m≤,http://www.paedagogika.at/bildung/bildung-home.html,
SPORTSTAETTENOGD.1235,1235,POINT (16.405252475172333 48.25647826080391),Schulsport outdoor,"21., Patrizigasse 2",4840,Rasenplatz 1820 m≤<br />Hartplatz 1164 m≤<br />Freifl‰che 1856 m≤,http://www.paedagogika.at/bildung/bildung-home.html,
SPORTSTAETTENOGD.1236,1236,POINT (16.401220464318264 48.252042609161876),Schulsport outdoor,"21., Prieﬂnitzgasse 1",2242,Rasenfl‰che 2242 m≤,,
SPORTSTAETTENOGD.1237,1237,POINT (16.40123394160746 48.25205159463139),Turnsaal,"21., Prieﬂnitzgasse 1",758,Turnsaal 289 m≤<br />Turnsaal 289 m≤<br />Turnsaal 180 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1238,1238,POINT (16.41155843817412 48.27560618586642),Turnsaal,"21., Reisgasse 1",557,Turnsaal 405 m≤<br />Turnsaal 152 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1239,1239,POINT (16.420607529834008 48.286735099131576),Turnsaal,"21., Rittingergasse 29a",404,Turnsaal 202 m≤<br />Turnsaal 202 m≤,http://www.wien.gv.at/amtshelfer/freizeit-sport/sportamt/anlagen/turnsaal.html,
SPORTSTAETTENOGD.1240,1240,POINT (16.42062101965239 48.286744082266765),Schulsport outdoor,"21., Rittingergasse 29a",4292,Rasenfl‰che 4292 m≤,,
