FID,OBJECTID,SHAPE,DIRECTION_NAME,SE_ANNO_CAD_DATA
EINBAHNOGD.1632619,1632619,"LINESTRING (16.341654131642866 48.207927334114345, 16.341903400087563 48.20926744527736)",in Richtung,
EINBAHNOGD.1632620,1632620,"LINESTRING (16.343449702278672 48.20755506971389, 16.34383073515727 48.20897954940109)",gegen Richtung,
EINBAHNOGD.1632621,1632621,"LINESTRING (16.361897721711667 48.1538344921012, 16.36169222162355 48.153599448840325, 16.36124222518396 48.15281537802713)",gegen Richtung,
EINBAHNOGD.1632622,1632622,"LINESTRING (16.382432586642913 48.14800033345178, 16.38171434593077 48.147990011654066, 16.38155759725088 48.14799091738446, 16.381391932126743 48.14799955433691, 16.38110315375252 48.14805362751164)",gegen Richtung,
EINBAHNOGD.1632623,1632623,"LINESTRING (16.383792028128813 48.17328486680217, 16.383475030218207 48.172503710921774)",gegen Richtung,
EINBAHNOGD.1632624,1632624,"LINESTRING (16.35531949926815 48.17317793930229, 16.354578260840544 48.17239733613553)",in Richtung,
EINBAHNOGD.1632625,1632625,"LINESTRING (16.35586708504654 48.1737472301972, 16.355017956586007 48.17411047512026)",in Richtung,
EINBAHNOGD.1632626,1632626,"LINESTRING (16.344094998969503 48.1942581753997, 16.343894106206236 48.19443756132707)",gegen Richtung,
EINBAHNOGD.1632627,1632627,"LINESTRING (16.338761701512638 48.192611825608594, 16.33891607814125 48.19286988537599)",in Richtung,
EINBAHNOGD.1632628,1632628,"LINESTRING (16.40676777483963 48.19317775804556, 16.408350017131387 48.19215274315144)",in Richtung,
EINBAHNOGD.1632629,1632629,"LINESTRING (16.38528254414894 48.19400509933942, 16.386291648800896 48.19388838340611)",in Richtung,
EINBAHNOGD.1632630,1632630,"LINESTRING (16.362740412221594 48.22861405312598, 16.362646180648 48.2287931653477)",gegen Richtung,
EINBAHNOGD.1632631,1632631,"LINESTRING (16.364204038488065 48.22609878488978, 16.365202991718963 48.226537514013884)",gegen Richtung,
EINBAHNOGD.1632632,1632632,"LINESTRING (16.364204038488065 48.22609878488978, 16.36378020904204 48.226535617668084)",in Richtung,
EINBAHNOGD.1632633,1632633,"LINESTRING (16.35457416941494 48.22139282418698, 16.35466870821958 48.2214417793512, 16.355038887753796 48.22168221559051, 16.355131952561074 48.221727587741505, 16.355220177797595 48.22176143769334, 16.355312816510324 48.221789455675804, 16.355429742281565 48.22181592356904, 16.356214866226534 48.22192195006077, 16.35630140883518 48.221955589037044)",gegen Richtung,
EINBAHNOGD.1632634,1632634,"LINESTRING (16.368306557851454 48.17759688710626, 16.368465965515053 48.178671532577575)",gegen Richtung,
EINBAHNOGD.1632635,1632635,"LINESTRING (16.368239104249906 48.21935229826132, 16.36832186496991 48.21938396156028, 16.368393163620773 48.21941042997816, 16.36863999601207 48.219537317609884)",gegen Richtung,
EINBAHNOGD.1632636,1632636,"LINESTRING (16.365433378106953 48.21717164583309, 16.36614537227649 48.216538567790735)",in Richtung,
EINBAHNOGD.1632637,1632637,"LINESTRING (16.343196031681504 48.20653190032246, 16.343127704050023 48.206479561544434, 16.34301944260582 48.20648624289488, 16.342726192778663 48.20651675256914, 16.339507277032073 48.20714009382702)",in Richtung,
EINBAHNOGD.1632638,1632638,"LINESTRING (16.34390904976421 48.21313663808929, 16.3424815954459 48.213151902761766)",gegen Richtung,
EINBAHNOGD.1632639,1632639,"LINESTRING (16.345451193061496 48.21312415673957, 16.34544257760848 48.21315471983014, 16.34554347196444 48.21416510841084, 16.345534540455247 48.21418260355694)",gegen Richtung,
EINBAHNOGD.1632640,1632640,"LINESTRING (16.345451193061496 48.21312415673957, 16.34390904976421 48.21313663808929)",gegen Richtung,
EINBAHNOGD.1632641,1632641,"LINESTRING (16.421462674848808 48.18083471472033, 16.421451629084547 48.180888822545676, 16.421428029260497 48.18097469745387, 16.421407543074295 48.18103829743417, 16.421360124336257 48.181142246597105, 16.42132847555972 48.18118892240938, 16.421285838472336 48.18126209409168)",gegen Richtung,
EINBAHNOGD.1632642,1632642,"LINESTRING (16.362798424982497 48.166972795235225, 16.362514879648558 48.165807252060425)",in Richtung,
EINBAHNOGD.1632643,1632643,"LINESTRING (16.37592524609163 48.17320741748461, 16.37564635576181 48.17224298965476)",in Richtung,
EINBAHNOGD.1632644,1632644,"LINESTRING (16.37564635576181 48.17224298965476, 16.374874357658054 48.17229222381928)",in Richtung,
EINBAHNOGD.1632645,1632645,"LINESTRING (16.406569580893994 48.15601560366542, 16.40663632432714 48.155909399968664, 16.406747034382153 48.15509368548779, 16.40684424097987 48.15484525696967, 16.40708118375206 48.15435272971786, 16.407044207228672 48.15418932789792)",in Richtung,
EINBAHNOGD.1632646,1632646,"LINESTRING (16.34121518380576 48.17129310723389, 16.339710861875123 48.17152488103712)",gegen Richtung,
EINBAHNOGD.1632647,1632647,"LINESTRING (16.342103859320655 48.181658319944866, 16.341086442483178 48.18130587708179)",in Richtung,
EINBAHNOGD.1632648,1632648,"LINESTRING (16.378634494640096 48.16881325023821, 16.37887796455685 48.16755923502988, 16.379263255687942 48.16736116939003)",in Richtung,
EINBAHNOGD.1632649,1632649,"LINESTRING (16.398770155089895 48.157544902869994, 16.4005849644678 48.1560753271637, 16.400802690432336 48.15619773788096, 16.401443100251488 48.15568482970281)",in Richtung,
EINBAHNOGD.1632650,1632650,"LINESTRING (16.362993917154114 48.16403280231389, 16.359236360052602 48.16455270003049)",gegen Richtung,
EINBAHNOGD.1632651,1632651,"LINESTRING (16.374374179246534 48.169495495331134, 16.373921856743415 48.16857102788063)",in Richtung,
EINBAHNOGD.1632652,1632652,"LINESTRING (16.344226739074813 48.18347369433998, 16.344783419031582 48.18260355970571)",in Richtung,
EINBAHNOGD.1632653,1632653,"LINESTRING (16.35812494168257 48.177377272702124, 16.35761899994141 48.1768185944265)",gegen Richtung,
EINBAHNOGD.1632654,1632654,"LINESTRING (16.378989506724356 48.176870562781154, 16.38030106710948 48.1767868780717)",in Richtung,
EINBAHNOGD.1632655,1632655,"LINESTRING (16.37545528332379 48.17483935900322, 16.375341487385562 48.17396979485599)",gegen Richtung,
EINBAHNOGD.1632656,1632656,"LINESTRING (16.368478113452472 48.179443822166995, 16.368465965515053 48.178671532577575)",in Richtung,
EINBAHNOGD.1632657,1632657,"LINESTRING (16.369521084154307 48.179443523245496, 16.36950383564597 48.178606034379285)",gegen Richtung,
EINBAHNOGD.1632658,1632658,"LINESTRING (16.369521084154307 48.179443523245496, 16.368478113452472 48.179443822166995)",gegen Richtung,
EINBAHNOGD.1632659,1632659,"LINESTRING (16.338880362150473 48.212174602609906, 16.338419201039855 48.212209461569614)",in Richtung,
EINBAHNOGD.1632660,1632660,"LINESTRING (16.35228955447817 48.17003808212159, 16.351543423169495 48.17049283546859)",in Richtung,
EINBAHNOGD.1632661,1632661,"LINESTRING (16.335046003832826 48.17928700479776, 16.33456181565961 48.1792302999679)",in Richtung,
EINBAHNOGD.1632662,1632662,"LINESTRING (16.334300404455778 48.180381920583116, 16.33456181565961 48.1792302999679)",gegen Richtung,
EINBAHNOGD.1632663,1632663,"LINESTRING (16.364681579801168 48.17113059034815, 16.36280116757648 48.171440467225366)",in Richtung,
EINBAHNOGD.1632664,1632664,"LINESTRING (16.350650635818706 48.22084087228254, 16.350866101300415 48.2213349062723)",gegen Richtung,
EINBAHNOGD.1632665,1632665,"LINESTRING (16.35920374708754 48.16933142035559, 16.357706781647835 48.16899116333467)",gegen Richtung,
EINBAHNOGD.1632666,1632666,"LINESTRING (16.37931631477148 48.16963201256929, 16.379587667315015 48.16894729985515)",gegen Richtung,
EINBAHNOGD.1632668,1632668,"LINESTRING (16.27980117428821 48.18744927465501, 16.279911253505066 48.18882753778089)",gegen Richtung,
EINBAHNOGD.1632669,1632669,"LINESTRING (16.28160373559851 48.188755844110766, 16.280649742180767 48.18742776578935)",gegen Richtung,
EINBAHNOGD.1632670,1632670,"LINESTRING (16.28964194114693 48.18543799496421, 16.28843730435426 48.185727533443604)",in Richtung,
EINBAHNOGD.1632671,1632671,"LINESTRING (16.33134529811184 48.178127981303255, 16.32996714100532 48.1780914517794)",gegen Richtung,
EINBAHNOGD.1632672,1632672,"LINESTRING (16.47366117511826 48.156571605037946, 16.47362448966295 48.15651782968202, 16.473398864028187 48.15621591244533, 16.473332787711414 48.156126690994626, 16.473290558638915 48.15608149362607, 16.473217292248435 48.156013078507556, 16.47307746970735 48.15587223363104, 16.47288411485812 48.155698921892046, 16.472669268318857 48.15549872572952, 16.472619799254083 48.15545480206661, 16.472562976108176 48.155409551616636, 16.472182230617303 48.15513170395804, 16.47213592000655 48.15509051659078)",in Richtung,
