FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,STRASSE,TYP,BEZEICHNUNG,WEBLINK1,SE_ANNO_CAD_DATA
PARKENVERKAUFOGD.676442,676442,POINT (16.294485276912297 48.19086979314668),"14., Penzinger Straﬂe 129-131",14,Penzinger Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676443,676443,POINT (16.279360404294444 48.195621362393055),"14., Linzer Straﬂe 281",14,Linzer Straﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676444,676444,POINT (16.34887012557211 48.173776799293),"10., Kundratstraﬂe 3",10,Kundratstraﬂe,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676445,676445,POINT (16.38073397375984 48.20791288009306),"1., Stubenring 22",1,Stubenring,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676446,676446,POINT (16.36872443149437 48.20521213162039),"1., F¸hrichgasse 12",1,F¸hrichgasse,div. andere,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676447,676447,POINT (16.373066777733232 48.21053162911656),"1., Hoher Markt 1",1,Hoher Markt,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676448,676448,POINT (16.28756421477309 48.157406686900906),"13., Am Rosenberg 1",13,Am Rosenberg,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676449,676449,POINT (16.32932487049215 48.17480434386377),"12., Tanbruckgasse 33",12,Tanbruckgasse,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676450,676450,POINT (16.331903972915423 48.17528308553719),"12., Wilhelmstraﬂe 60",12,Wilhelmstraﬂe,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
PARKENVERKAUFOGD.676451,676451,POINT (16.42783189769931 48.16961981525816),"11., Geringergasse/Ladenzeile ",11,Geringergasse/Ladenzeile,Trafik,,http://www.wien.gv.at/amtshelfer/finanzielles/rechnungswesen/abgaben/parkschein.html,
