FID,OBJECTID,SHAPE,NAME,HAUPTKATEGORIE,UNTERKATEGORIE,TYP,WEBLINK1,WEBLINK2,SE_ANNO_CAD_DATA
RELIGIONOGD.223762,223762,POINT (16.340130721812827 48.212098730129796),Pfarrkirche Breitenfeld,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.breitenfeld.info,http://www.erzdioezese-wien.at/pages/pfarren/9055,
RELIGIONOGD.223761,223761,POINT (16.35279756503778 48.214464262140524),Pfarrkirche Alser Vorstadt,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-alservorstadt.at,http://www.erzdioezese-wien.at/pages/pfarren/9054,
RELIGIONOGD.223760,223760,POINT (16.344736772339978 48.20175829703156),Pfarrkirche Schottenfeld,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarreschottenfeld.at,http://www.erzdioezese-wien.at/pages/pfarren/9050,
RELIGIONOGD.223759,223759,POINT (16.352560066032698 48.204704968766386),Pfarrkirche St. Ulrich,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.stulrich.com,http://www.erzdioezese-wien.at/pages/pfarren/9049,
RELIGIONOGD.223757,223757,POINT (16.35302364534518 48.19896732527232),Pfarrkirche Mariahilf,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarremariahilf.at,http://www.erzdioezese-wien.at/pages/pfarren/9047,
RELIGIONOGD.223756,223756,POINT (16.347966277790576 48.19071918447147),Pfarrkirche Gumpendorf,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-gumpendorf.at,http://www.erzdioezese-wien.at/pages/pfarren/9046,
RELIGIONOGD.223755,223755,POINT (16.342890587370892 48.20727223200444),Pfarrkirche Altlerchenfeld,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarrealtlerchenfeld.at,http://www.erzdioezese-wien.at/pages/pfarren/9045,
RELIGIONOGD.223754,223754,POINT (16.397630301682465 48.19478759307448),Herz Jesu,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223753,223753,POINT (16.348800403389546 48.18703281436164),Zum hl. Johannes dem Täufer,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.st-johannes.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223752,223752,POINT (16.359961511141464 48.18889334856922),Zur ewigen Anbetung,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.klarissen.at,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223751,223751,POINT (16.350390434078246 48.183569880305356),Zum Hlst. Herzen Jesu,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.spc-dunaj.net,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223750,223750,POINT (16.36735813928796 48.19602830744703),Pfarrkirche Wieden,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,members.chello.at/pf,http://www.erzdioezese-wien.at/pages/pfarren/9039,
RELIGIONOGD.223749,223749,POINT (16.364364852157927 48.18846813882615),Pfarrkirche St. Thekla,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.piaristen.at/stthekla,http://www.erzdioezese-wien.at/pages/pfarren/9038,
RELIGIONOGD.223748,223748,POINT (16.354752288452488 48.19101958832681),Pfarrkirche St. Josef zu Margareten,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.sajoma.at,http://www.erzdioezese-wien.at/pages/pfarren/9036,
RELIGIONOGD.223747,223747,POINT (16.363429697752405 48.18563190680514),Pfarrkirche St. Florian,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-st-florian.at,http://www.erzdioezese-wien.at/pages/pfarren/9035,
RELIGIONOGD.223746,223746,POINT (16.352629656486364 48.18192831710538),Pfarrkirche Auferstehung Christi,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-auferstehung-christi.at,http://www.erzdioezese-wien.at/pages/pfarren/9033,
RELIGIONOGD.223745,223745,POINT (16.390958898478335 48.19373997283586),Zum Allerheiligsten Erlöser,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,,http://www.erzdioezese-wien.at/,
RELIGIONOGD.223744,223744,POINT (16.397873356590864 48.19043386796986),Pfarrkirche Rennweg,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarremariageburt-rennweg.at,http://www.erzdioezese-wien.at/pages/pfarren/9028,
RELIGIONOGD.223743,223743,POINT (16.405687082723208 48.1975639757686),Pfarrkirche Neuerdberg,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.pfarre-neuerdberg.at,http://www.erzdioezese-wien.at/pages/pfarren/9027,
RELIGIONOGD.223742,223742,POINT (16.38423675840919 48.19008129370434),Pfarrkirche An der Muttergotteskirche,Katholische Kirche,römisch-katholisch,Kirche/Kapelle,http://www.muttergotteskirche.at,http://www.erzdioezese-wien.at/pages/pfarren/9026,
