FID,SHAPE,NAME,SE_SDO_ROWID,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.17663,POINT (16.417947542694453 48.25325137781647),Auslaufbrunnen,17663,
TRINKBRUNNENOGD.17664,POINT (16.472088059310433 48.257253265062744),Auslaufbrunnen,17664,
TRINKBRUNNENOGD.17665,POINT (16.47095657928843 48.25762583332687),Auslaufbrunnen,17665,
TRINKBRUNNENOGD.17666,POINT (16.49849890752731 48.255416679016214),Auslaufbrunnen,17666,
TRINKBRUNNENOGD.17667,POINT (16.491455108565344 48.25919029764399),Auslaufbrunnen,17667,
TRINKBRUNNENOGD.17668,POINT (16.46208386749851 48.25745100223346),Auslaufbrunnen,17668,
TRINKBRUNNENOGD.17669,POINT (16.461444115968998 48.260292082180996),Auslaufbrunnen,17669,
TRINKBRUNNENOGD.17670,POINT (16.500949961115953 48.25624451294978),Auslaufbrunnen,17670,
TRINKBRUNNENOGD.17671,POINT (16.4000831081478 48.278222307368786),Auslaufbrunnen,17671,
TRINKBRUNNENOGD.17672,POINT (16.445035313723505 48.26174041542817),Auslaufbrunnen,17672,
TRINKBRUNNENOGD.17673,POINT (16.339655773232522 48.271864619943464),Auslaufbrunnen,17673,
TRINKBRUNNENOGD.17674,POINT (16.38068314129616 48.27881908022768),Auslaufbrunnen,17674,
TRINKBRUNNENOGD.17675,POINT (16.483805935885474 48.2846456706203),Auslaufbrunnen,17675,
TRINKBRUNNENOGD.17676,POINT (16.392531909030225 48.29509210763389),Auslaufbrunnen,17676,
TRINKBRUNNENOGD.17677,POINT (16.452024598413818 48.28637811257671),Auslaufbrunnen,17677,
TRINKBRUNNENOGD.17635,POINT (16.255531551523532 48.20720826598645),Auslaufbrunnen,17635,
TRINKBRUNNENOGD.17678,POINT (16.451682737314844 48.282616030752415),Auslaufbrunnen,17678,
TRINKBRUNNENOGD.17679,POINT (16.38092445794264 48.30113982336536),Auslaufbrunnen,17679,
TRINKBRUNNENOGD.17680,POINT (16.38522464558823 48.297827549427524),Auslaufbrunnen,17680,
TRINKBRUNNENOGD.17681,POINT (16.38734941195984 48.300896213625855),Auslaufbrunnen,17681,
TRINKBRUNNENOGD.17682,POINT (16.405372052576556 48.30406975531127),Auslaufbrunnen,17682,
TRINKBRUNNENOGD.17683,POINT (16.4070087620374 48.30535026335152),Auslaufbrunnen,17683,
TRINKBRUNNENOGD.17684,POINT (16.334688842711216 48.22150150665925),Auslaufbrunnen,17684,
TRINKBRUNNENOGD.17685,POINT (16.27644767551681 48.240051418684),Auslaufbrunnen,17685,
TRINKBRUNNENOGD.17686,POINT (16.26772299559618 48.15082790005538),Auslaufbrunnen,17686,
TRINKBRUNNENOGD.17687,POINT (16.447753794044253 48.15233427434758),Auslaufbrunnen,17687,
TRINKBRUNNENOGD.17688,POINT (16.44002612023456 48.146899336613444),Auslaufbrunnen,17688,
TRINKBRUNNENOGD.17689,POINT (16.287626901880472 48.164935422770604),Auslaufbrunnen,17689,
TRINKBRUNNENOGD.17690,POINT (16.271676130523527 48.16701529963313),Auslaufbrunnen,17690,
TRINKBRUNNENOGD.17691,POINT (16.256676887870952 48.166716227738085),Auslaufbrunnen,17691,
TRINKBRUNNENOGD.17692,POINT (16.315521367483456 48.17657180021945),Auslaufbrunnen,17692,
TRINKBRUNNENOGD.17693,POINT (16.26553799547146 48.174600530354795),Auslaufbrunnen,17693,
TRINKBRUNNENOGD.17694,POINT (16.328263312831314 48.18077497774415),Auslaufbrunnen,17694,
TRINKBRUNNENOGD.17695,POINT (16.34065912154417 48.18190955851756),Auslaufbrunnen,17695,
TRINKBRUNNENOGD.17696,POINT (16.275321437350676 48.191305890730014),Auslaufbrunnen,17696,
TRINKBRUNNENOGD.17697,POINT (16.298619734784886 48.20474825121561),Auslaufbrunnen,17697,
TRINKBRUNNENOGD.17698,POINT (16.31274450547013 48.199167842764204),Auslaufbrunnen,17698,
TRINKBRUNNENOGD.17700,POINT (16.26508720789064 48.207300356268384),Auslaufbrunnen,17700,
TRINKBRUNNENOGD.17701,POINT (16.41556759319453 48.2052462029321),Auslaufbrunnen,17701,
TRINKBRUNNENOGD.17702,POINT (16.43290235268498 48.20249852876523),Auslaufbrunnen,17702,
TRINKBRUNNENOGD.17703,POINT (16.485723750388154 48.20237503526802),Auslaufbrunnen,17703,
TRINKBRUNNENOGD.17704,POINT (16.474253253802488 48.205590202514934),Auslaufbrunnen,17704,
TRINKBRUNNENOGD.17705,POINT (16.476412856440973 48.2059900311393),Auslaufbrunnen,17705,
TRINKBRUNNENOGD.17706,POINT (16.36543834799405 48.211897828318676),Auslaufbrunnen,17706,
TRINKBRUNNENOGD.17707,POINT (16.36339927796041 48.2128666845583),Auslaufbrunnen,17707,
TRINKBRUNNENOGD.17708,POINT (16.339128119896277 48.20272681735345),Auslaufbrunnen,17708,
TRINKBRUNNENOGD.17709,POINT (16.25365879316164 48.14507349535059),Auslaufbrunnen,17709,
TRINKBRUNNENOGD.17710,POINT (16.372434205527952 48.2109689343255),Auslaufbrunnen,17710,
TRINKBRUNNENOGD.17711,POINT (16.25063154165905 48.213451029467485),Auslaufbrunnen,17711,
TRINKBRUNNENOGD.17712,POINT (16.262093171780737 48.21007070607003),Auslaufbrunnen,17712,
TRINKBRUNNENOGD.17713,POINT (16.34240229773625 48.21192702929025),Auslaufbrunnen,17713,
TRINKBRUNNENOGD.17714,POINT (16.37069760638669 48.208111044943294),Auslaufbrunnen,17714,
TRINKBRUNNENOGD.17715,POINT (16.363363199321395 48.20615079416905),Auslaufbrunnen,17715,
TRINKBRUNNENOGD.17716,POINT (16.309567663074002 48.25711547991654),Auslaufbrunnen,17716,
TRINKBRUNNENOGD.17717,POINT (16.346481508905093 48.260366552602996),Auslaufbrunnen,17717,
TRINKBRUNNENOGD.17718,POINT (16.367410955317446 48.25785825170348),Auslaufbrunnen,17718,
TRINKBRUNNENOGD.17719,POINT (16.465794247812546 48.210757917914535),Auslaufbrunnen,17719,
TRINKBRUNNENOGD.17720,POINT (16.4059837124786 48.21023078576543),Auslaufbrunnen,17720,
TRINKBRUNNENOGD.17721,POINT (16.400772284022754 48.212947257497255),Auslaufbrunnen,17721,
TRINKBRUNNENOGD.17722,POINT (16.44884800662549 48.213669917002996),Auslaufbrunnen,17722,
TRINKBRUNNENOGD.17723,POINT (16.45566540373338 48.21062150395529),Auslaufbrunnen,17723,
TRINKBRUNNENOGD.17724,POINT (16.473830574242033 48.2113717951139),Auslaufbrunnen,17724,
TRINKBRUNNENOGD.17725,POINT (16.478316299004298 48.20987616270873),Auslaufbrunnen,17725,
TRINKBRUNNENOGD.17726,POINT (16.529713554807657 48.21290803706385),Auslaufbrunnen,17726,
TRINKBRUNNENOGD.17727,POINT (16.334906460104516 48.21915489822967),Auslaufbrunnen,17727,
TRINKBRUNNENOGD.17728,POINT (16.344355632228716 48.22490017715594),Auslaufbrunnen,17728,
TRINKBRUNNENOGD.17729,POINT (16.451903808022053 48.22125968547751),Auslaufbrunnen,17729,
TRINKBRUNNENOGD.17730,POINT (16.53303081433875 48.21993649880238),Auslaufbrunnen,17730,
TRINKBRUNNENOGD.17731,POINT (16.483780487074384 48.217706640131624),Auslaufbrunnen,17731,
TRINKBRUNNENOGD.17732,POINT (16.492357414316775 48.217416601469125),Auslaufbrunnen,17732,
TRINKBRUNNENOGD.17733,POINT (16.358663616522524 48.21143258598651),Auslaufbrunnen,17733,
TRINKBRUNNENOGD.17734,POINT (16.28379729368214 48.22678247072503),Auslaufbrunnen,17734,
TRINKBRUNNENOGD.17735,POINT (16.291445305755865 48.23321012388821),Auslaufbrunnen,17735,
TRINKBRUNNENOGD.17736,POINT (16.29886522783139 48.2309870687344),Auslaufbrunnen,17736,
TRINKBRUNNENOGD.17737,POINT (16.440390529860455 48.227092935218145),Auslaufbrunnen,17737,
TRINKBRUNNENOGD.17738,POINT (16.319408269268195 48.24553204177254),Auslaufbrunnen,17738,
TRINKBRUNNENOGD.17739,POINT (16.323870385525883 48.250807512205),Auslaufbrunnen,17739,
TRINKBRUNNENOGD.17740,POINT (16.393247359166363 48.21806382161391),Auslaufbrunnen,17740,
TRINKBRUNNENOGD.17699,POINT (16.280833390580796 48.206925258335495),Auslaufbrunnen,17699,
TRINKBRUNNENOGD.17741,POINT (16.45834469283992 48.17818667595331),Auslaufbrunnen,17741,
TRINKBRUNNENOGD.17742,POINT (16.462656593590655 48.1769437377156),Auslaufbrunnen,17742,
TRINKBRUNNENOGD.17743,POINT (16.255810146311397 48.1596326491518),Auslaufbrunnen,17743,
TRINKBRUNNENOGD.17744,POINT (16.450686683829268 48.194269634013104),Auslaufbrunnen,17744,
TRINKBRUNNENOGD.17745,POINT (16.36663243684651 48.27816194742802),Auslaufbrunnen,17745,
TRINKBRUNNENOGD.17746,POINT (16.32747601009291 48.21340524785451),Auslaufbrunnen,17746,
TRINKBRUNNENOGD.17747,POINT (16.33054562786544 48.21410733822756),Auslaufbrunnen,17747,
TRINKBRUNNENOGD.17748,POINT (16.314729558187096 48.26253608840133),Auslaufbrunnen,17748,
TRINKBRUNNENOGD.17749,POINT (16.386719800483117 48.222675865477804),Auslaufbrunnen,17749,
TRINKBRUNNENOGD.17750,POINT (16.37978278168402 48.21574898987273),Auslaufbrunnen,17750,
TRINKBRUNNENOGD.17751,POINT (16.349813056019535 48.206306805543896),Auslaufbrunnen,17751,
TRINKBRUNNENOGD.17752,POINT (16.33755818316654 48.215003579808325),Auslaufbrunnen,17752,
TRINKBRUNNENOGD.17753,POINT (16.407153617819908 48.23007591926749),Auslaufbrunnen,17753,
TRINKBRUNNENOGD.17754,POINT (16.368162655430773 48.214539650741855),Auslaufbrunnen,17754,
TRINKBRUNNENOGD.17755,POINT (16.393578010380736 48.24736314661757),Auslaufbrunnen,17755,
TRINKBRUNNENOGD.17756,POINT (16.366980144848014 48.26390505525248),Auslaufbrunnen,17756,
TRINKBRUNNENOGD.17757,POINT (16.36838800809559 48.26040995225297),Auslaufbrunnen,17757,
TRINKBRUNNENOGD.17758,POINT (16.43006816829398 48.208004362110024),Auslaufbrunnen,17758,
