FID,OBJECTID,SHAPE,ADRESSE,AUSNAHME_TXT,STELLPL_ANZ,WEITERE_INF,SE_ANNO_CAD_DATA
PARKENANRAINEROGD.42169,42169,"LINESTRING (16.368322302106847 48.206272334392516, 16.368450655877883 48.206409156506524)","1, Dorotheergasse 20",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42170,42170,"LINESTRING (16.36887729911186 48.206966818329875, 16.368426397783452 48.20716319421298)","1, Stallburggasse 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42171,42171,"LINESTRING (16.368168342644047 48.2070978884298, 16.367981648971643 48.207406674004794)","1, Stallburggasse 5",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42172,42172,"LINESTRING (16.36730655443436 48.207428869196455, 16.36766940847175 48.207524737308304)","1, Habsburgergasse 11",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42173,42173,"LINESTRING (16.36803299971449 48.21104980411766, 16.368257178786582 48.211336799105084)","1, Am Hof ggü.1",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42174,42174,"LINESTRING (16.38049997952811 48.20843708192539, 16.379911344709818 48.20778118825633)","1, Biberstraße 1 bis 5",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,15,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42175,42175,"LINESTRING (16.379266609450127 48.20791473266452, 16.379457968041503 48.20814737028461, 16.37947828013864 48.20817448828488, 16.379621493534287 48.208301496451654)","1, Dominikanerbastei 1",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42176,42176,"LINESTRING (16.38005253015305 48.209691227636625, 16.380957366395883 48.2093797656285)","1, Rosenbursenstraße 1 bis 3",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,24,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42177,42177,"LINESTRING (16.380061107606597 48.210841515379634, 16.380076768458146 48.21117409714839)","1, Dominikanerbastei 22 bis 24",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,10,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42178,42178,"LINESTRING (16.3797131468906 48.20933071833563, 16.379177686500977 48.20926667544252)","1, Barbaragasse 1",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42179,42179,"LINESTRING (16.37897600641796 48.20937746140427, 16.378880793803688 48.20920936162855, 16.37864718431477 48.20886659820112, 16.378608868717045 48.20881128974311, 16.378568569351017 48.20875071987312)","1, Postgasse 7",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,14,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42180,42180,"LINESTRING (16.37889335806994 48.20951906954136, 16.37887119729312 48.20962496344011, 16.378864155898643 48.20971835905944)","1, Postgasse ggü. 11-13",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42181,42181,"LINESTRING (16.37876743200119 48.21006103723546, 16.37855121560468 48.21012179318795, 16.378408512137785 48.21016332574293)","1, Fleischmarkt 26 bis 28",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42182,42182,"LINESTRING (16.37565027746836 48.209727019111654, 16.375720566518947 48.20970260539052, 16.37619385895482 48.20947996232753)","1, Sonnenfelsgasse 3 bis 11",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42183,42183,"LINESTRING (16.374795737601854 48.2099627605682, 16.374643603393285 48.21003383757885)","1, Lugeck 1",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42184,42184,"LINESTRING (16.375582164873013 48.210938302780804, 16.37586190456129 48.21084064943999, 16.375903191531805 48.21082778614019, 16.375941632330516 48.21081873017359, 16.375981495988174 48.21080967482411, 16.37600786508347 48.2108060605246)","1, Fleischmarkt 1",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42185,42185,"LINESTRING (16.35840811480343 48.206141356881375, 16.358838334808716 48.205819332290474)","1, Hansenstraße 1 bis 5",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.42186,42186,"LINESTRING (16.36686771486423 48.202122039857684, 16.36747415233421 48.20198672159874)","1, Elisabethstraße 7 bis 9",ausg. Fahrzeuge mit Parkkleber für den 1. Bezirk,8,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
