FID,SHAPE,STRNAM,ZEITRAUM,STELLPL_ANZ,BESCHREIBUNG,WEBLINK2,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA,KATEGORIE,KATEGORIE_TXT
BEHINDERTENPARKPLATZOGD.476152,POINT (16.37954565281487 48.149387860180106),Bernadottegasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,476152,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.476153,POINT (16.372080844786545 48.17557992763245),Jagdgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,476153,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.476154,POINT (16.34510592123622 48.19489042595135),Schmalzhofgasse,,6,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,6,476154,,1,Allgemein
BEHINDERTENPARKPLATZOGD.476155,POINT (16.34512232228926 48.194534434527384),Haydngasse,,8,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,6,476155,,1,Allgemein
BEHINDERTENPARKPLATZOGD.476156,POINT (16.345821297556025 48.193861062063704),Haydngasse,,5,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,6,476156,,1,Allgemein
BEHINDERTENPARKPLATZOGD.476157,POINT (16.389134563831952 48.15061213034635),Max-Fleischer-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,476157,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.476158,POINT (16.377785756474204 48.169712792483594),Wirerstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,476158,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.476159,POINT (16.361568148455795 48.17233435528496),Angeligasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,476159,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.476160,POINT (16.324807471366668 48.17650153898045),Spittelbreitengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,12,476160,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.476161,POINT (16.349615923321025 48.181775169847654),Siebenbrunnenfeldgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,5,476161,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.476162,POINT (16.367233893054244 48.25219508061777),Eisenbahnstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,19,476162,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.476163,POINT (16.36411024891946 48.19924723446881),Linke Wienzeile,von 18-20h,1,Theater an der Wien,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,6,476163,,1,Allgemein
BEHINDERTENPARKPLATZOGD.476164,POINT (16.34144055577744 48.19733679876213),Kaiserstraﬂe,Mo.-Fr. (w.) v. 9-12h u. 16-18h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,7,476164,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.476165,POINT (16.3441564071088 48.19712324212561),Schottenfeldgasse,von 9-20h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,7,476165,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.476166,POINT (16.349299996129506 48.19687792923085),Esterh·zygasse,Mo.-Fr. (w.) v. 5.30-18h; Sa (w.) v. 5.30-12h,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,6,476166,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.476167,POINT (16.352735131467117 48.19993653332182),Kirchengasse,Mo.-Fr. (w.) v. 8-18h; Sa. (w.) v. 8-12h,1,Einkaufszentrum,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,7,476167,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475222,POINT (16.378044099834636 48.23951957644948),Meldemannstraﬂe,"Mo.-Fr.(w.)v.8-18h, Sa.(w.)v.8-12h",2,FH Technikum Wien,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475222,,1,Allgemein
BEHINDERTENPARKPLATZOGD.475223,POINT (16.280666210384243 48.1752807507991),Egon-Schiele-Gasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,13,475223,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475224,POINT (16.386278592641236 48.166508929448085),Absberggasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475224,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475225,POINT (16.281309646710664 48.18669374803387),Spohrstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,13,475225,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475226,POINT (16.342494080445736 48.24379444582124),Arbesbachgasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,19,475226,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475227,POINT (16.308249991119048 48.162224335270054),Eckartsaugasse,1.3.-31.10.,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,12,475227,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475228,POINT (16.30771430757986 48.20270491438866),Huttengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,14,475228,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475229,POINT (16.377419048929113 48.18856164426778),Weyringergasse,,2,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,4,475229,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475230,POINT (16.437917412507815 48.200864792917535),Wehlistraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,2,475230,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475231,POINT (16.37059002252111 48.17441083597529),Siccardsburggasse,v. 1.9. - 31.5.,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475231,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475232,POINT (16.393469409383453 48.23386023531763),Innstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,20,475232,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475233,POINT (16.51229518406062 48.21355061547008),Kahlergasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475233,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475234,POINT (16.318480349000108 48.2331595423407),Wallriﬂstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,18,475234,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475235,POINT (16.46184828448845 48.224809198168764),Waldrebengasse,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,22,475235,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475236,POINT (16.260977853547747 48.217605555361416),Ulmenstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,14,475236,,3,Privat mit Kennzeichen
BEHINDERTENPARKPLATZOGD.475237,POINT (16.38277930283419 48.1449281377751),Hasenˆhrlstraﬂe,,1,,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,10,475237,,2,Privat ohne Kennzeichen
BEHINDERTENPARKPLATZOGD.475238,POINT (16.401399947355436 48.21777917798366),Ausstellungsstraﬂe,,2,Prater,http://www.wien.gv.at/verkehr/parken/behindertenparkplaetze/,2,475238,,1,Allgemein
