FID,SHAPE,STRASSE,STELLPL_ANZ,BEZIRK,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MOTORRADABSTELLPLATZOGD.327249,POINT (16.39447813730256 48.27163214913703),Hopfengasse,5,21,327249,
MOTORRADABSTELLPLATZOGD.327250,POINT (16.40185546733546 48.26734415612739),Karl-Sch‰fer-Straﬂe,4,21,327250,
MOTORRADABSTELLPLATZOGD.327251,POINT (16.40220040374256 48.26728115141667),Karl-Sch‰fer-Straﬂe,4,21,327251,
MOTORRADABSTELLPLATZOGD.327252,POINT (16.375167236816583 48.24623456472467),Aignerstraﬂe,3,20,327252,
MOTORRADABSTELLPLATZOGD.327253,POINT (16.37516934941433 48.24608631066457),Aignerstraﬂe,3,20,327253,
MOTORRADABSTELLPLATZOGD.327254,POINT (16.404818837767813 48.219757784617414),Feuerbachstraﬂe,2,2,327254,
MOTORRADABSTELLPLATZOGD.327255,POINT (16.404676178614285 48.21967827859583),Feuerbachstraﬂe,2,2,327255,
MOTORRADABSTELLPLATZOGD.327256,POINT (16.322125247039153 48.19382189717401),Felberstraﬂe,5,15,327256,
MOTORRADABSTELLPLATZOGD.327257,POINT (16.43481491062785 48.20308904545129),Wehlistraﬂe,5,2,327257,
MOTORRADABSTELLPLATZOGD.327258,POINT (16.43617318556663 48.20211988979819),Wehlistraﬂe,4,2,327258,
MOTORRADABSTELLPLATZOGD.327259,POINT (16.437371185260055 48.201233069629076),Wehlistraﬂe,3,2,327259,
MOTORRADABSTELLPLATZOGD.327260,POINT (16.431973935246596 48.20511301449344),Wehlistraﬂe,12,2,327260,
MOTORRADABSTELLPLATZOGD.327261,POINT (16.382686153370518 48.24198706014913),Stromstraﬂe,3,20,327261,
MOTORRADABSTELLPLATZOGD.327262,POINT (16.423817898010554 48.30081040428638),Roman-Felleis-Gasse,6,21,327262,
MOTORRADABSTELLPLATZOGD.327263,POINT (16.402480422502993 48.2777946293386),Mitterhofergasse,7,21,327263,
MOTORRADABSTELLPLATZOGD.327264,POINT (16.385979911165975 48.264720825518005),Jedleseer Straﬂe,4,21,327264,
MOTORRADABSTELLPLATZOGD.327265,POINT (16.399530069738972 48.25818165658018),Pius-Parsch-Platz,8,21,327265,
MOTORRADABSTELLPLATZOGD.327266,POINT (16.39480482628238 48.221522106556534),Joseph-Roth-Gasse,8,2,327266,
MOTORRADABSTELLPLATZOGD.327267,POINT (16.419957300154113 48.22629707738451),Am Kaiserm¸hlendamm,2,22,327267,
MOTORRADABSTELLPLATZOGD.327268,POINT (16.41372479304659 48.1986300217127),Stadionallee,6,2,327268,
MOTORRADABSTELLPLATZOGD.327269,POINT (16.386898476473604 48.26295787451174),Jedleseer Straﬂe,12,21,327269,
MOTORRADABSTELLPLATZOGD.327270,POINT (16.402332472543158 48.27130767638163),Ignaz-Kˆck-Straﬂe,4,21,327270,
MOTORRADABSTELLPLATZOGD.327271,POINT (16.369766035969636 48.22195299117399),Obere Donaustraﬂe,6,2,327271,
MOTORRADABSTELLPLATZOGD.327272,POINT (16.382480969237953 48.213678588895),Praterstraﬂe,3,2,327272,
MOTORRADABSTELLPLATZOGD.327273,POINT (16.384599247423786 48.21272833382523),Untere Donaustraﬂe,12,2,327273,
MOTORRADABSTELLPLATZOGD.327274,POINT (16.389784087442855 48.22233016410389),Nordbahnstraﬂe,6,2,327274,
MOTORRADABSTELLPLATZOGD.327275,POINT (16.40689693629021 48.22152219457844),Jungstraﬂe,4,2,327275,
MOTORRADABSTELLPLATZOGD.327276,POINT (16.399315745336345 48.25824260581668),Pius-Parsch-Platz,10,21,327276,
MOTORRADABSTELLPLATZOGD.327277,POINT (16.386322708111127 48.27825245075887),Autokaderstraﬂe,7,21,327277,
MOTORRADABSTELLPLATZOGD.327278,POINT (16.415542605223735 48.21418919837264),Vorgartenstraﬂe,15,2,327278,
MOTORRADABSTELLPLATZOGD.327279,POINT (16.404852249123238 48.250822668145375),M¸hlsch¸ttelgasse,4,21,327279,
MOTORRADABSTELLPLATZOGD.327280,POINT (16.37408124583218 48.2023847801574),Hegelgasse,4,1,327280,
MOTORRADABSTELLPLATZOGD.327281,POINT (16.415832830930754 48.27939374260785),Skrauptstraﬂe,3,21,327281,
MOTORRADABSTELLPLATZOGD.327282,POINT (16.40403466838655 48.277590211466034),Mitterhofergasse,7,21,327282,
MOTORRADABSTELLPLATZOGD.327283,POINT (16.371416984569407 48.22151874270063),Rembrandtstraﬂe,5,2,327283,
MOTORRADABSTELLPLATZOGD.327284,POINT (16.37277128927471 48.22262675871416),Rembrandtstraﬂe,5,2,327284,
MOTORRADABSTELLPLATZOGD.327285,POINT (16.383078419160054 48.217211066664156),Groﬂe Mohrengasse,5,2,327285,
MOTORRADABSTELLPLATZOGD.327286,POINT (16.43638345142099 48.28582394752692),Gerasdorfer Straﬂe,2,21,327286,
MOTORRADABSTELLPLATZOGD.327287,POINT (16.374452572263227 48.22206614274933),Untere Augartenstraﬂe,3,2,327287,
MOTORRADABSTELLPLATZOGD.327288,POINT (16.37512974967338 48.21553652301758),Obere Donaustadtstraﬂe,5,2,327288,
MOTORRADABSTELLPLATZOGD.327289,POINT (16.456396463713475 48.22181753879925),Schickgasse,4,22,327289,
MOTORRADABSTELLPLATZOGD.327290,POINT (16.39749478805549 48.261470646256285),Gerichtsgasse,4,21,327290,
MOTORRADABSTELLPLATZOGD.327291,POINT (16.411185240049967 48.2118876079746),Trabrennstraﬂe,20,2,327291,
MOTORRADABSTELLPLATZOGD.327292,POINT (16.41115115896954 48.30165363160987),Stammersdorfer Straﬂe,3,21,327292,
MOTORRADABSTELLPLATZOGD.327293,POINT (16.287421761566822 48.15908547696583),Schluckergasse,5,13,327293,
MOTORRADABSTELLPLATZOGD.327294,POINT (16.3205991103645 48.216198439989526),Wilhelminenstraﬂe,7,16,327294,
MOTORRADABSTELLPLATZOGD.327295,POINT (16.469617135431413 48.152734559274336),S‰ngergasse,4,11,327295,
MOTORRADABSTELLPLATZOGD.327296,POINT (16.35818615959394 48.218191775702365),W‰hringer Straﬂe,5,9,327296,
MOTORRADABSTELLPLATZOGD.327297,POINT (16.356572211629246 48.174545194550596),Zur Spinnerin,9,10,327297,
MOTORRADABSTELLPLATZOGD.327298,POINT (16.449155614536256 48.27797195116186),Mˆllplatz,10,21,327298,
MOTORRADABSTELLPLATZOGD.327299,POINT (16.35614550421812 48.19723585001516),D¸rergasse,7,6,327299,
MOTORRADABSTELLPLATZOGD.327300,POINT (16.35157828402433 48.204887629382455),Kirchengasse,8,7,327300,
MOTORRADABSTELLPLATZOGD.327301,POINT (16.311088496496417 48.140908724567524),Carlbergergasse,6,23,327301,
MOTORRADABSTELLPLATZOGD.327302,POINT (16.387044911187953 48.15231591402913),Alaudagasse,4,10,327302,
MOTORRADABSTELLPLATZOGD.327303,POINT (16.353705948876296 48.19038133337243),Schˆnbrunner Straﬂe,2,5,327303,
MOTORRADABSTELLPLATZOGD.327304,POINT (16.364052553654567 48.17265982171361),Inzersdorfer Straﬂe,6,10,327304,
MOTORRADABSTELLPLATZOGD.327305,POINT (16.37074216458638 48.198282893147216),Karlsgasse,6,4,327305,
MOTORRADABSTELLPLATZOGD.327306,POINT (16.373307107958595 48.19477357701227),Argentinierstraﬂe,18,4,327306,
MOTORRADABSTELLPLATZOGD.327307,POINT (16.36740111786731 48.18854313851338),Johann-Strauﬂ-Gasse,7,4,327307,
MOTORRADABSTELLPLATZOGD.327308,POINT (16.369231183787594 48.19368778796514),Brahmsplatz,4,4,327308,
MOTORRADABSTELLPLATZOGD.327309,POINT (16.423437429336833 48.15886714655356),Am Kanal,3,11,327309,
MOTORRADABSTELLPLATZOGD.327310,POINT (16.366894643238137 48.19988433445725),Operngasse,4,4,327310,
MOTORRADABSTELLPLATZOGD.327311,POINT (16.46250320210189 48.157997158931614),Paulasgasse,7,11,327311,
MOTORRADABSTELLPLATZOGD.327312,POINT (16.336758421096913 48.22792048568207),W‰hringer Straﬂe,6,18,327312,
MOTORRADABSTELLPLATZOGD.327313,POINT (16.36381270038299 48.19236776764943),Kleine Neugasse,4,4,327313,
MOTORRADABSTELLPLATZOGD.327314,POINT (16.34703127552079 48.20122308257819),Hermanngasse,6,7,327314,
MOTORRADABSTELLPLATZOGD.327315,POINT (16.353356056432993 48.19164867111273),Linke Wienzeile,7,6,327315,
MOTORRADABSTELLPLATZOGD.327316,POINT (16.352731356334207 48.192901379795416),Mollardgasse,6,6,327316,
MOTORRADABSTELLPLATZOGD.327317,POINT (16.351914837702935 48.232971749646445),Werkmanngasse,5,19,327317,
MOTORRADABSTELLPLATZOGD.327318,POINT (16.355291437337165 48.215881979025816),Otto-Wagner-Platz,7,9,327318,
MOTORRADABSTELLPLATZOGD.327319,POINT (16.364315003554506 48.21981952986497),Servitengasse,4,9,327319,
MOTORRADABSTELLPLATZOGD.327320,POINT (16.357252179720913 48.22929749430053),Newaldgasse,4,9,327320,
MOTORRADABSTELLPLATZOGD.327321,POINT (16.358138387435584 48.22600648155666),Marktgasse,4,9,327321,
MOTORRADABSTELLPLATZOGD.327322,POINT (16.36186890797589 48.22652791764379),Nordbergstraﬂe,14,9,327322,
