FID,SHAPE,NAME,BEZIRK,ADRESSE,WEITERE_INF,SE_SDO_ROWID,SE_ANNO_CAD_DATA
MUSEUMOGD.51679,POINT (16.369315273166006 48.21076012315605),Uhrenmuseum,1,Schulhof 2,http://www.wienmuseum.at/de/standorte/ansicht/uhrenmuseum.html,51679,
MUSEUMOGD.51680,POINT (16.380905858724155 48.19150860407696),Oberes Belvedere,3,Prinz-Eugen-Straße 27,http://www.belvedere.at,51680,
MUSEUMOGD.51681,POINT (16.359624008861392 48.222482229895974),Palais Liechtenstein,9,Fürstengasse 1,http://www.liechtensteinmuseum.at,51681,
MUSEUMOGD.51682,POINT (16.36523481198881 48.20161076035439),"Akademie der bildenden Künste, Gemäldegalerie",1,Schillerplatz 3,http://www.akademiegalerie.at,51682,
MUSEUMOGD.51683,POINT (16.35294602052444 48.19771845205886),Foltermuseum,6,Fritz-Grünbaum-Platz 1,http://www.folter.at,51683,
MUSEUMOGD.51684,POINT (16.369966033477713 48.205574736868826),Kaisergruft (Kapuzinergruft),1,Tegetthoffstraße 2,http://www.kaisergruft.at,51684,
MUSEUMOGD.51685,POINT (16.365620095517105 48.26212136363745),Lehár-Schikaneder-Schlössl,19,Hackhofergasse 18,http://www.wien.gv.at/vadb/internet/AdvPrSrv.asp?Layout=VAErgebnis_neu&Type=K&ID=317365&HKAT=90&KAT=&KATEGORIE_ID=90&UNTKATVON=&brckat=&brckatu=&return=,51685,
MUSEUMOGD.51686,POINT (16.365896514757058 48.200396240252836),Secession,1,Friedrichstraße 12,http://www.secession.at,51686,
MUSEUMOGD.51687,POINT (16.39428176917314 48.20778720725232),Village-Galerie (beim Hundertwasser-Haus),3,Kegelgasse 37-39,http://www.villagegallery.at/,51687,
MUSEUMOGD.51688,POINT (16.368320171055327 48.20460124899301),Albertina,1,Albertinaplatz 1,http://www.albertina.at,51688,
MUSEUMOGD.51689,POINT (16.357232245783912 48.2042428400639),Architekturzentrum Wien,7,Museumsplatz 1,http://www.azw.at,51689,
MUSEUMOGD.51757,POINT (16.356209205624616 48.254841057542706),Beethoven Wohnung Heiligenstadt,19,Probusgasse 6,http://www.wienmuseum.at/de/standorte/ansicht/beethoven-wohnung-heiligenstadt-1.html,51757,
MUSEUMOGD.51758,POINT (16.318879111988753 48.17273652342),Wiener Arbeitsgemeinschaft für Astronomie (WAA),12,Fraungrubergasse 3/1/7,http://www.waa.at/,51758,
MUSEUMOGD.51759,POINT (16.367969562932903 48.20414921458468),Staatsopernmuseum,1,Hanuschgasse 3,http://www.wiener-staatsoper.at/Content.Node/home/opernhaus/staatsopernmuseum/Allgemein.de.php,51759,
MUSEUMOGD.51760,POINT (16.402133092838405 48.18275057631062),Friedhof St. Marx (Biedermeierfriedhof),3,Leberstraße 6-8,http://www.wien.gv.at/umwelt/parks/anlagen/friedhof-st-marx.html,51760,
MUSEUMOGD.51761,POINT (16.365590682217622 48.180631143499184),Grabdenkmalhain Waldmüllerpark,10,Landgutgasse 61,http://www.wien.gv.at/umwelt/parks/anlagen/waldmueller.html,51761,
MUSEUMOGD.51762,POINT (16.430832072112146 48.24367694193378),Österreichisches Gartenbaumuseum,22,Siebeckstraße 14,http://www.wien.gv.at/umwelt/parks/gartenbaumuseum/index.html,51762,
MUSEUMOGD.51763,POINT (16.30105817743046 48.21402790796537),Wiener Volksliedwerk - Bockkeller,16,Gallitzinstraße 1,http://www.wvlw.at/,51763,
MUSEUMOGD.51764,POINT (16.35528495191149 48.22744006232914),Adalbert-Stifter-Gedenkraum,9,Nußdorfer Straße 54,http://www.wienmuseum.at/de/standorte/ansicht/schubert-geburtshaus.html,51764,
MUSEUMOGD.51765,POINT (16.35566665177296 48.242207085633105),Beethoven Eroicahaus,19,Döblinger Hauptstraße 92,http://www.wienmuseum.at/de/standorte/ansicht/beethoven-eroicahaus-1.html,51765,
MUSEUMOGD.51690,POINT (16.366159429808185 48.21151120336312),Bank Austria Kunstforum,1,Freyung 8-9,http://www.bankaustria-kunstforum.at,51690,
MUSEUMOGD.51691,POINT (16.38615367056073 48.26778700020527),Beethoven Gedenkstätte Wien-Floridsdorf,21,Jeneweingasse 17,http://members.chello.at/~h.swietly/Frames/Deutsch/Beethoven-Gedenkst%E4tte/ethoven-gedenkstaette/,51691,
MUSEUMOGD.51692,POINT (16.38145539798747 48.224963816792666),Augarten Contemporary (Gustinus Ambrosi-Museum),2,Scherzergasse 1A,http://www.belvedere.at/de/schloss-und-museum/augarten-contemporary,51692,
MUSEUMOGD.51693,POINT (16.38050771937884 48.191486275718674),Mittelalterliche Kunst (Museum im Oberen Belvedere),3,Prinz-Eugen-Straße 27,http://www.belvedere.at/de/sammlungen/belvedere/mittelalter,51693,
MUSEUMOGD.51694,POINT (16.385428055346704 48.204006480542944),Böhmerwaldmuseum Wien und Erzgebirger-Heimatstube,3,Ungargasse 3,http://www.boehmerwaldmuseum.at/,51694,
MUSEUMOGD.51695,POINT (16.382461413173765 48.19008750997012),Alpengarten im Belvedere,3,Prinz-Eugen-Straße 27,http://www.belvedere.at/de/schloss-und-museum/schlossgarten/alpengarten,51695,
MUSEUMOGD.51696,POINT (16.373630593885927 48.20747691401934),Schatzkammer des Deutschen Ordens,1,Singerstraße 7,http://www.deutscher-orden.at/content/site/ordenshausinwien/schatzkammer/index.html,51696,
MUSEUMOGD.51697,POINT (16.29113393142269 48.21277755614024),Kuffner Sternwarte,16,Johann-Staud-Straße 10,http://www.planetarium-wien.at/astronomie_kuffner.html,51697,
MUSEUMOGD.51698,POINT (16.383911535707497 48.21144376060793),Urania-Sternwarte,1,Uraniastraße 1,http://www.planetarium-wien.at/astronomie_urania.html,51698,
MUSEUMOGD.51699,POINT (16.27785275990668 48.209676869592194),Gedenkstätte Steinhof (Zur Geschichte der NS-Medizin in Wien ),14,Baumgartner Höhe 1,http://www.gedenkstaettesteinhof.at/,51699,
MUSEUMOGD.51700,POINT (16.371258343914757 48.211782697766864),Dokumentationsarchiv des österreichischen Widerstandes,1,Wipplingerstraße 6-8,http://www.doew.at,51700,
MUSEUMOGD.51701,POINT (16.374158384126286 48.20872310473546),Dom- und Diözesanmuseum,1,Stephansplatz 6,http://www.dommuseum.at,51701,
MUSEUMOGD.51702,POINT (16.25591605196352 48.20989335792032),Ernst Fuchs Museum,14,Hüttelbergstraße 26,http://www.ernstfuchs-zentrum.com/html/museanf_de.html,51702,
MUSEUMOGD.51703,POINT (16.367680025795895 48.197120532851194),Generali Foundation,4,Wiedner Hauptstraße 15,http://foundation.generali.at,51703,
MUSEUMOGD.51704,POINT (16.377502133720874 48.1990958236045),Arnold Schönberg Center,3,Zaunergasse 1-3,http://www.schoenberg.at/index.php?option=com_content&view=article&id=163&Itemid=181&lang=de,51704,
MUSEUMOGD.51705,POINT (16.352937093396132 48.19756916635613),Haus des Meeres,6,Fritz-Grünbaum-Platz 1,http://www.haus-des-meeres.at,51705,
MUSEUMOGD.51706,POINT (16.38893867811834 48.184261429086504),Heeresgeschichtliches Museum,3,Arsenal 18,http://www.hgm.or.at,51706,
MUSEUMOGD.51707,POINT (16.369312534454398 48.2071542201281),Jüdisches Museum,1,Dorotheergasse 11,http://www.jmw.at,51707,
MUSEUMOGD.51708,POINT (16.393369027950985 48.211039058578564),Kunst Haus Wien - Museum Hundertwasser,3,Untere Weißgerberstraße 13,http://www.kunsthauswien.com,51708,
MUSEUMOGD.51709,POINT (16.35795887981797 48.203026465662646),Kunsthalle Wien,7,Museumsplatz 1,http://www.kunsthallewien.at,51709,
MUSEUMOGD.51710,POINT (16.36767816073905 48.20020978477667),Kunsthalle Wien (project space),4,Treitlstraße 4,http://www.kunsthallewien.at,51710,
MUSEUMOGD.51723,POINT (16.252415134062186 48.14663548462768),Freiluftplanetarium Sterngarten Georgenberg,23,Rysergasse 2,http://www.astronomisches-buero-wien.or.at/garten.htm,51723,
MUSEUMOGD.51724,POINT (16.357942787035157 48.20377721977821),Museum Moderner Kunst Stiftung Ludwig Wien (mumok),7,Museumsplatz 1,http://www.mumok.at,51724,
MUSEUMOGD.51725,POINT (16.358420342276567 48.20339060079191),MuseumsQuartier,7,Museumsplatz 1,http://www.mqw.at,51725,
MUSEUMOGD.51726,POINT (16.353191336385322 48.218560283643),Pathologisch-anatomisches Bundesmuseum (Narrenturm),9,Spitalgasse 2,http://www.nhm-wien.ac.at/forschung/anthropologie/pathologischantomische_sammlung_im_narrenturm,51726,
MUSEUMOGD.51727,POINT (16.381263385182418 48.19153751207399),Belvedere - Oberes Belvedere (Barockmuseum),3,Prinz-Eugen-Straße 27,http://www.belvedere.at/de/sammlungen/belvedere/barock,51727,
MUSEUMOGD.51728,POINT (16.379851953020378 48.196601589478526),Belvedere - Unteres Belvedere,3,Rennweg 6,http://www.belvedere.at/de/schloss-und-museum/unteres-belvedere,51728,
MUSEUMOGD.51729,POINT (16.35689102888065 48.183908829273925),Österreichisches Gesellschafts- und Wirtschaftsmuseum,5,Vogelsanggasse 36,http://www.oegwm.ac.at/oegwm.htm,51729,
MUSEUMOGD.51730,POINT (16.365293252381576 48.20572710578142),"Österreichische Nationalbibliothek, Prunksaal",1,Josefsplatz 1,http://www.onb.ac.at/prunksaal.htm,51730,
MUSEUMOGD.51731,POINT (16.35038402674756 48.213159912568045),Österreichisches Museum für Volkskunde,8,Laudongasse 17,http://www.volkskundemuseum.at,51731,
MUSEUMOGD.51711,POINT (16.363476145802142 48.20488354350141),Weltmuseum Wien,1,Heldenplatz ,http://www.weltmuseumwien.at/,51711,
MUSEUMOGD.51712,POINT (16.368447371883953 48.20555916696828),Österreichisches Theatermuseum,1,Lobkowitzplatz 2,http://www.theatermuseum.at,51712,
MUSEUMOGD.51713,POINT (16.371557330850038 48.20050731601061),Künstlerhaus,1,Karlsplatz 5,http://www.k-haus.at,51713,
