FID,OBJECTID,SHAPE,TEXT13ID,P_TYP,T_TEXT,T_LANG,O,P,SE_ANNO_CAD_DATA
OEFFGRUENPKTGOGD.2246,2246,POINT (16.39567429917811 48.3002019378755),Bisamberg,Z,Bisambg.-Krottenhofgraben,"Am Bisamberg - Krottenhofgraben, Unteren Bergen",100,0,
OEFFGRUENPKTGOGD.2247,2247,POINT (16.395347142505745 48.29914256846653),Krottenhofg,Z,Krottenhofgasse,Krottenhofgasse,1,0,
OEFFGRUENPKTGOGD.2248,2248,POINT (16.436184828638964 48.226684296748246),unt.alt.D.,Z,unteren Alten,An der unteren Alten Donau,1,0,
OEFFGRUENPKTGOGD.2249,2249,POINT (16.45130128942834 48.26422581993512),Holzmanngasse,Z,Holzmanngasse,Holzmanngasse,1,0,
OEFFGRUENPKTGOGD.2250,2250,POINT (16.33299059647067 48.24569426307212),Gräfweg,Z,Gräfweg,Gräfweg,1,0,
OEFFGRUENPKTGOGD.2251,2251,POINT (16.427274118659675 48.13111639441565),unt. Liesing,Z,An der Liesing / Klederi*,An der Liesing / Klederinger Straße,10,0,
OEFFGRUENPKTGOGD.2252,2252,POINT (16.287893741166553 48.220237654665496),WienerwaldNW,Z,Gemeindewald/Predigtstuhl,Predigtstuhl,10,0,
OEFFGRUENPKTGOGD.2253,2253,POINT (16.23969380185226 48.214004838160506),Edenstraße,Z,Edenstraße,Edenstraße,1,0,
OEFFGRUENPKTGOGD.2254,2254,POINT (16.283046015548653 48.2260311089611),Park Röntgen*,Z,Park Röntgengasse,Parkanlage Röntgengasse,1,0,
OEFFGRUENPKTGOGD.2255,2255,POINT (16.24292268924301 48.22227628072163),Park Eichbac*,Z,Park Eichbachgasse,Parkanlage Eichbachgasse,1,0,
OEFFGRUENPKTGOGD.2256,2256,POINT (16.308319973878113 48.22304398686456),Kongreßpark,Z,Kongreßpark/Kainzga,Kainzgasse,1,0,
OEFFGRUENPKTGOGD.2257,2257,POINT (16.247665380850435 48.2200666085361),Karl-Bekehrt*,Z,Karl-Bekehrty-Straße,Karl-Bekehrty-Straße,1,0,
OEFFGRUENPKTGOGD.2258,2258,POINT (16.24707431727089 48.2204922827167),Karl-Bekehrt*,Z,Karl-Bekehrty-Straße,Karl-Bekehrty-Straße,1,0,
OEFFGRUENPKTGOGD.2259,2259,POINT (16.246508793996117 48.20970125376343),Wolfersberg,Z,Wolfersberg,Wolfersberg,1,0,
OEFFGRUENPKTGOGD.2260,2260,POINT (16.23968825188833 48.21388117742458),Edenstraße,Z,Edenstraße,Edenstraße,1,0,
OEFFGRUENPKTGOGD.2261,2261,POINT (16.24532052329429 48.214003638110526),Park Genosse*,Z,Park Genossenschaf*,Parkanlage Genossenschaftsstraße,1,0,
