FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHULEOGD.481695,POINT (16.318872016106372 48.197193656839666),Volksschule Johnstraße 40,"15., Johnstraße 40",481695,
SCHULEOGD.481696,POINT (16.267895555563378 48.15258274892746),Volksschule II Bendagasse 1-2,"23., Bendagasse 1-2",481696,
SCHULEOGD.481710,POINT (16.399507624698952 48.20585213109749),Volksschule Wittelsbachstraße 6,"2., Wittelsbachstraße 6",481710,
SCHULEOGD.481712,POINT (16.443277757543772 48.26995284695366),Volksschule Dopschstraße 25,"21., Dopschstraße 25",481712,
SCHULEOGD.481713,POINT (16.454559716053424 48.15394495166721),Volksschule Pantucekgasse 13,"11., Pantucekgasse 13",481713,
SCHULEOGD.481714,POINT (16.310715491239385 48.21912334246256),Volksschule Julius-Meinl-Gasse 1,"16., Julius-Meinl-Gasse 1",481714,
SCHULEOGD.481717,POINT (16.40561006876855 48.175446837161886),Volksschule Brehmstraße 9,"11., Brehmstraße 9",481717,
SCHULEOGD.481718,POINT (16.306020388599787 48.191268114956486),Volksschule Diesterweggasse 30,"14., Diesterweggasse 30",481718,
SCHULEOGD.481727,POINT (16.363237339327455 48.2578022080486),Volksschule Oskar-Spiel-Gasse 3,"19., Oskar-Spiel-Gasse 3",481727,
SCHULEOGD.481729,POINT (16.223425507212788 48.20946412561045),Volksschule Hauptstraße 70,"14., Hauptstraße 70",481729,
SCHULEOGD.481738,POINT (16.352181225666175 48.240162428873234),Volksschule Kreindlgasse 24,"19., Kreindlgasse 24",481738,
SCHULEOGD.481743,POINT (16.312148481149528 48.14818338253408),Volksschule Alma-Seidler-Weg 2 (In der Wiesen,"23., Alma-Seidler-Weg 2",481743,
SCHULEOGD.481746,POINT (16.409758143693026 48.18279567282368),Volksschule Molitorgasse 11,"11., Molitorgasse 11",481746,
SCHULEOGD.481748,POINT (16.470289075000856 48.15550211819257),Volksschule Hoefftgasse 7,"11., Hoefftgasse 7",481748,
SCHULEOGD.481749,POINT (16.325031193173015 48.18899621037567),Volksschule Reichsapfelgasse 30,"15., Reichsapfelgasse 30",481749,
SCHULEOGD.481750,POINT (16.32579293808359 48.242342658741336),Volksschule Krottenbachstraße 108,"19., Krottenbachstraße 108",481750,
SCHULEOGD.481753,POINT (16.28521530769747 48.169592332228426),Volksschule Speisinger Straße 44,"13., Speisinger Straße 44",481753,
