FID,OBJECTID,SHAPE,ADRESSE,BEZIRK,ZUSATZ,SE_ANNO_CAD_DATA
MULTIMEDIAOGD.155,155,POINT (16.387631186270422 48.26214378397485),"21., Jedleseer Straﬂe 82-84",21,,
MULTIMEDIAOGD.156,156,POINT (16.393261163693012 48.26594376239347),"21., Prager Straﬂe 38",21,Koloniestraﬂe 2,
MULTIMEDIAOGD.157,157,POINT (16.319771452278776 48.21508405099026),"16., Wattgasse 27",16,Wilhelminenstraﬂe,
MULTIMEDIAOGD.158,158,POINT (16.33565133206082 48.1846041867729),"12., L‰ngenfeldgasse 4",12,Schˆnbrunner Straﬂe,
MULTIMEDIAOGD.159,159,POINT (16.377311111688947 48.17200422020292),"10., Antonsplatz 27",10,,
MULTIMEDIAOGD.160,160,POINT (16.27969157557472 48.1632443228446),"13., Speisinger Straﬂe 113c",13,,
MULTIMEDIAOGD.161,161,POINT (16.330521384660337 48.20444409455884),"15., Gablenzgasse 19",15,Markgraf R¸diger Straﬂe,
MULTIMEDIAOGD.162,162,POINT (16.396190996345414 48.1554242876264),"10., Laaer Berg Straﬂe 173",10,,
MULTIMEDIAOGD.163,163,POINT (16.29842152810393 48.19411416422431),"14., Linzer Straﬂe 128",14,,
MULTIMEDIAOGD.164,164,POINT (16.38697112549831 48.21592400479021),"2., Praterstraﬂe 52",2,W6 gegen¸ber Rotensterngasse,
MULTIMEDIAOGD.165,165,POINT (16.35850123257931 48.19332413051783),"5., Schˆnbrunner Straﬂe 31",5,Strohbachgasse,
MULTIMEDIAOGD.166,166,POINT (16.319361434705332 48.20098411812274),"15., Johnstraﬂe 58",15,Oeverseestraﬂe,
MULTIMEDIAOGD.167,167,POINT (16.245221800258435 48.20330415338008),"14., Linzer Straﬂe 451",14,Utendorfgasse,
MULTIMEDIAOGD.168,168,POINT (16.283451602315264 48.19496416952866),"14., Linzer Straﬂe 257",14,Gruschaplatz,
MULTIMEDIAOGD.169,169,POINT (16.309051494987937 48.20764409257115),"16., Gutraterplatz 2",16,,
