FID,OBJECTID,SHAPE,TEXT13ID,LAENGE,SE_ANNO_CAD_DATA
OEFFGRUENLINGOGD.109,109,"LINESTRING (16.367582727699883 48.181442553738904, 16.367590566433694 48.181530673444286)",Waldmüllerpa*,9.815786,
OEFFGRUENLINGOGD.110,110,"LINESTRING (16.384800917834564 48.184003045810705, 16.384879392327022 48.18393913279866)",Schweizergar*,9.195568,
OEFFGRUENLINGOGD.111,111,"LINESTRING (16.383007299749227 48.186007462431114, 16.382914253641605 48.185962229467705)",Schweizergar*,8.553694,
OEFFGRUENLINGOGD.112,112,"LINESTRING (16.39025612403444 48.18571893106256, 16.390204269246187 48.18566009492379)",Schweizergar*,7.593995,
OEFFGRUENLINGOGD.113,113,"LINESTRING (16.37806103796892 48.17904671671318, 16.378071310430325 48.1789996037587)",Humboldpark,5.294126,
OEFFGRUENLINGOGD.114,114,"LINESTRING (16.368854525530853 48.19382388043069, 16.368826034121696 48.1938718681762)",Brahmsplatz,5.741064,
OEFFGRUENLINGOGD.115,115,"LINESTRING (16.36899224436795 48.19360052820856, 16.369010712241767 48.19356949007998)",Brahmsplatz,3.714375,
OEFFGRUENLINGOGD.116,116,"LINESTRING (16.33024423665659 48.17355801048688, 16.33002195960513 48.17354021132745)",Schedifkapla*,16.649998,
OEFFGRUENLINGOGD.117,117,"LINESTRING (16.330340494963828 48.17335826034701, 16.330301459959998 48.17329277598138)",Schedifkapla*,7.838966,
OEFFGRUENLINGOGD.118,118,"LINESTRING (16.33148313451855 48.17332727041123, 16.331461851367656 48.17315406081432)",Schedifkapla*,19.324935,
OEFFGRUENLINGOGD.119,119,"LINESTRING (16.33264368935123 48.17656880058264, 16.33263986902738 48.17661367217405)",Park Sechter*,4.99757,
OEFFGRUENLINGOGD.120,120,"LINESTRING (16.33240849610896 48.176448806633736, 16.332351944722003 48.1764479927386)",Park Sechter*,4.206769,
OEFFGRUENLINGOGD.121,121,"LINESTRING (16.381572022730527 48.16429615157354, 16.381465244316786 48.1642760903048)",Maria-Rekker*,8.250406,
OEFFGRUENLINGOGD.122,122,"LINESTRING (16.38170272853761 48.16398023354369, 16.381597720095673 48.163960505343454)",Maria-Rekker*,8.113677,
OEFFGRUENLINGOGD.123,123,"LINESTRING (16.3819739130523 48.187069707426865, 16.382006462496104 48.187100424219935)",Schweizergar*,4.186118,
OEFFGRUENLINGOGD.124,124,"LINESTRING (16.382803932998744 48.186338386694096, 16.382886906566892 48.18627282478317)",Schweizergar*,9.550452,
OEFFGRUENLINGOGD.125,125,"LINESTRING (16.384137578414112 48.188241334941026, 16.384140326584653 48.18841439369919)",Schweizergar*,19.244361,
OEFFGRUENLINGOGD.126,126,"LINESTRING (16.3376268819997 48.18726387867998, 16.337575471817807 48.187293937378136)",Trendsportan*,5.077795,
OEFFGRUENLINGOGD.127,127,"LINESTRING (16.338776148807288 48.18492808087738, 16.338823240134335 48.18494353458956)",Park Haeberg*,3.90057,
OEFFGRUENLINGOGD.128,128,"LINESTRING (16.338927870228265 48.184722873628004, 16.338974045571394 48.18473802602923)",Park Haeberg*,3.824676,
OEFFGRUENLINGOGD.129,129,"LINESTRING (16.338596845539143 48.18460095863007, 16.33856706919645 48.18458670144357)",Park Haeberg*,2.723184,
OEFFGRUENLINGOGD.130,130,"LINESTRING (16.378721038987806 48.17335865656934, 16.378574165074845 48.17333672973459)",Park-Reumann,11.192637,
OEFFGRUENLINGOGD.131,131,"LINESTRING (16.34060495131783 48.18171546094, 16.340731198550625 48.18175966383592)",Steinbauerpa*,10.597017,
