FID,OBJECTID,SHAPE,ANGEBOT,OEFFNUNGSZEITEN,STANDORT,BEZIRK,WASSER,WEBLINK1,SE_ANNO_CAD_DATA
SPIELPLATZOGD.157882,157882,POINT (16.27341645924845 48.175384703720134),Skaterpark,0:00-24:00,Parkanlage Wolkersbergenstraﬂe,13,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157883,157883,POINT (16.282219456585743 48.168145823023224),"Kleinkinderspielplatz,<br>Sandspielplatz",0:00-24:00,Oscar-Straus-Park,13,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157884,157884,POINT (16.2743406021764 48.18060524383032),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Sand- und Matschbereich,<br>Sandspielplatz",0:00-24:00,Parkanlage Roter Berg,13,"Trinkbrunnen+Tr‰nke, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157885,157885,POINT (16.268673362755347 48.18197823671778),"Kinder- Jugendspielplatz,<br>Rodelh¸gel",0:00-24:00,Parkanlage Roter Berg,13,"Trinkbrunnen+Tr‰nke, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157887,157887,POINT (16.27153427509744 48.190134435806115),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Streckerpark,13,Trinkbrunnen mit Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157895,157895,POINT (16.337068128469298 48.18682722954213),"Fuﬂballplatz,<br>Skaterpark,<br>Basketballplatz",0:00-24:00,Parkanlage Dunklergasse,12,Trinkbrunnen+Tr‰nke mit Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157897,157897,POINT (16.32033183671416 48.17114388562491),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz",0:00-24:00,Parkanlage Schwenkgasse,12,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157898,157898,POINT (16.347147468692217 48.18240503742022),"Fuﬂballplatz,<br>Basketballplatz",0:00-24:00,Parkanlage Mittelzone,12,2 Trinkbrunnen mit Auffangschale,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157899,157899,POINT (16.346319634095014 48.18173581926186),"Kleinkinder- Kinder- Jugendspielplatz,<br>Skaterpark,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Haydnpark,12,2 Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157900,157900,POINT (16.333263737105316 48.18157654773818),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Basketballplatz",Spielpl‰tze 06:00-21:30,Hermann-Leopoldi-Park,12,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157904,157904,POINT (16.3015433295314 48.16694014937025),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Karl-Kraus-Gasse,12,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157905,157905,POINT (16.317542738687113 48.17908273080438),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Sand- und Matschbereich",6:00-21:30,Marillenalm,12,Pumpbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157906,157906,POINT (16.345437420945192 48.18008388873532),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sand- und Matschbereich,<br>Sandspielplatz",0:00-24:00,Parkanlage Marx-Meidlinger-Straﬂe,12,"Trinkbrunnen, Pumpbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157910,157910,POINT (16.331070685756128 48.17361589644009),"Kleinkinderspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Schedifkaplatz,12,Zierbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157912,157912,POINT (16.33261366553133 48.176488964115876),"Kleinkinderspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Sechtergasse,12,Nein,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157913,157913,POINT (16.33979714454758 48.18158213774447),"Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Basketballplatz,<br>Sandspielplatz",0:00-24:00,Steinbauerpark,12,"Trinkbrunnen+Tr‰nke, Trinkbrunnen+Tr‰nke und Auffangschale",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157917,157917,POINT (16.335251107372176 48.17863269817676),"Kleinkinder- Kinder- Jugendspielplatz,<br>Volleyballplatz,<br>Tischtennisplatz,<br>Sand- und Matschbereich,<br>Sandspielplatz",0:00-24:00,Parkanlage Vierthalergasse,12,"Trinkbrunnen+Tr‰nke, Spielbrunnen",http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157918,157918,POINT (16.338994737649223 48.17809862860108),"Kleinkinder- Kinder- Jugendspielplatz,<br>Fuﬂballplatz,<br>Basketballplatz,<br>Sandspielplatz",6:00-21:30,Wilhelmsdorfer Park,12,2 Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157925,157925,POINT (16.468358191921247 48.15984438390128),"Kleinkinderspielplatz,<br>Sandspielplatz",0:00-24:00,Parkanlage Kaiser-Ebersdorfer-Straﬂe,11,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157926,157926,POINT (16.469970126005656 48.154317873345605),Kinder- Jugendspielplatz,0:00-24:00,Parkanlage Flammweg,11,Ja,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
SPIELPLATZOGD.157927,157927,POINT (16.4011002776834 48.21328051034748),"Kleinkinder- Kinder- Jugendspielplatz,<br>Sand- und Matschbereich",0:00-24:00,Prater - Meiereiwiese,2,Trinkbrunnen,http://www.wien.gv.at/umwelt/parks/anlagen/index.html,
