FID,OBJECTID,SHAPE,ADRESSE,ZEITRAUM,STELLPLATZANZAHL,SE_ANNO_CAD_DATA
TAXIOGD.58,58,"LINESTRING (16.368462114025483 48.16929171753418, 16.369116979135384 48.169198019345636)","10., Troststraße 45A",,10,
TAXIOGD.59,59,"LINESTRING (16.368283544747143 48.16939066525666, 16.368125616210232 48.16941330606364)","10., Troststraße 47A",v. 7-19h,10,
TAXIOGD.60,60,"LINESTRING (16.41773335913455 48.18579202136175, 16.417705551418976 48.18577218522634, 16.41764513314863 48.18572291046839, 16.417582788779402 48.185668512036976, 16.417532910999423 48.1856224313271, 16.417483026556454 48.18557314901602, 16.417436075139864 48.18552248302409, 16.41738695828966 48.1854652332641)","11., Rosa-Fischer-Gasse (bei Gasometer)",,7,
TAXIOGD.61,61,"LINESTRING (16.363774066810947 48.21894258884934, 16.36371178239955 48.2189559879215, 16.36363254211944 48.218972939954526, 16.363576481944403 48.21898700407799, 16.36350371208399 48.21900575647738, 16.363404261895685 48.21903458302394)","9., Porzellangasse 1-5",,6,
TAXIOGD.62,62,"LINESTRING (16.349211474218663 48.22379139999054, 16.34921916064138 48.22380436836055, 16.349227657368036 48.22382166121941, 16.34924384171688 48.22385651569834, 16.34925921618766 48.2238951541367, 16.34926892811511 48.22392109264443)","9., Währinger Gürtel ggü. 88-94",Ladezone Mo.-Fr. (w.) v.7-16h sowie ausg. Taxi f.d.verbl. Zeitraum,3,
TAXIOGD.63,63,"LINESTRING (16.349409000592356 48.22441844272504, 16.349398211561006 48.22439154321332, 16.349386701507424 48.224360801460065, 16.349373030925733 48.22432189304996, 16.349358640333197 48.224270015472236, 16.34934784594436 48.224228704429876, 16.34933632936879 48.22417250305832, 16.349319055635828 48.22409564620344, 16.34930682164131 48.22404280722517, 16.349289552207697 48.22398228192812, 16.349274444932615 48.22393616902997)","9., Währinger Gürtel ggü. 88-98",,10,
TAXIOGD.64,64,"LINESTRING (16.28323676317325 48.13460034948206, 16.283562275025574 48.134443409380516)","23., Franz-Parsche-Gasse (bei Liesinger Platz)",,6,
TAXIOGD.65,65,"LINESTRING (16.375338956315062 48.20549026547622, 16.375055630221166 48.20534577294681)","1., Seilerstätte 7",v. 18-6h,5,
TAXIOGD.66,66,"LINESTRING (16.31006293914111 48.129384828974395, 16.309980112366464 48.12920407296322)","23., Porschestraße ggü. 25",,4,
TAXIOGD.67,67,"LINESTRING (16.350039394040955 48.22830815067754, 16.350154782632238 48.228292600922074)","18., Canisiusgasse (U-Bahnunterführung)",v. 22-4h,1,
TAXIOGD.136,136,"LINESTRING (16.3664943174575 48.190146620737366, 16.366943448563013 48.18977244652101)","4., Schönburgstraße 1",,6,
TAXIOGD.137,137,"LINESTRING (16.373309440080202 48.194596501979156, 16.37346180244756 48.19431241580778)","4., Argentinierstraße 30A",,6,
TAXIOGD.138,138,"LINESTRING (16.39899652402431 48.25622685050925, 16.399809940054705 48.25590685945097)","21., Franklinstraße (U6 Floridsdorf)",,10,
TAXIOGD.139,139,"LINESTRING (16.46282095993109 48.15455598360889, 16.463035679450858 48.15454915566462)","11., Svetelskystraße 8",,8,
TAXIOGD.140,140,"LINESTRING (16.46270018900001 48.15463475158437, 16.462599754792365 48.15463772543009, 16.462539905665583 48.154645577222176)","11., Svetelskystraße 8",,8,
TAXIOGD.141,141,"LINESTRING (16.403215985269394 48.17490122857816, 16.403434714790528 48.17489014682035)","11., Geiselbergstraße 27",,3,
TAXIOGD.142,142,"LINESTRING (16.4745637314163 48.159090893619634, 16.4742098844199 48.15904129447161)","11., Kaiser-Ebersdorfer-Straße 299",,4,
TAXIOGD.143,143,"LINESTRING (16.417452579236265 48.173334232783226, 16.417311771120282 48.173478217379206)","11., Simmeringer Hauptstraße 119",,3,
TAXIOGD.144,144,"LINESTRING (16.420053263896705 48.16951792024737, 16.420498173297563 48.169801764864275)","11., Simmeringer Platz ggü. 1",,7,
TAXIOGD.145,145,"LINESTRING (16.348314487728658 48.217492715257514, 16.34872397662324 48.21756763335586)","9., Lazarettgasse 14",,6,
TAXIOGD.146,146,"LINESTRING (16.343864206513345 48.21106093523403, 16.34386389624876 48.211475863359446)","8., Albertgasse 29-33",,7,
TAXIOGD.147,147,"LINESTRING (16.34935084605749 48.214892066903744, 16.349389354908617 48.2143381586752)","9., Kochgasse 27-29",,12,
TAXIOGD.148,148,"LINESTRING (16.452083350713483 48.27718830619924, 16.4523896037509 48.27725582364619)","21., Schererstraße 50",,5,
TAXIOGD.149,149,"LINESTRING (16.280741438889972 48.20685503585689, 16.28084492531188 48.20662833268029)","14., Raimannstraße (Bereich Baumgartner Höhe)",,10,
TAXIOGD.150,150,"LINESTRING (16.294855437904545 48.14561549307442, 16.294984111274697 48.14566044030102, 16.29507582976697 48.1456870481666, 16.2951689212168 48.14571090675324, 16.29529624278618 48.145734776283305)","23., Breitenfurter Straße 291-297",,6,
TAXIOGD.151,151,"LINESTRING (16.31790457576183 48.12574876377494, 16.317631205707787 48.12579199044892)","23., Ketzergasse 7-9",,4,
TAXIOGD.152,152,"LINESTRING (16.317500850742576 48.15097974336526, 16.317467569233578 48.15049729977748)","23., Ketzergasse 7-9",,4,
TAXIOGD.153,153,"LINESTRING (16.27251288321281 48.166677601964494, 16.27270384325001 48.16667620436654)","13., Hermesstraße 1",,2,
TAXIOGD.154,154,"LINESTRING (16.291747720301892 48.17525992860566, 16.29150653449104 48.17532895398251, 16.291406371857892 48.17535999235166)","13., Küniglberggasse ggü. 5",,4,
TAXIOGD.155,155,"LINESTRING (16.297109626750213 48.1754978266011, 16.29727631900264 48.175422754641495)","13., Montecuccoliplatz ggü. 1-3",,3,
TAXIOGD.156,156,"LINESTRING (16.284167229970844 48.17548238251384, 16.284153105251413 48.17558553297031, 16.2841425139888 48.17565977066432, 16.284136546322426 48.175784026285484, 16.284131764992548 48.17589186979769)","13., Lainzer Straße 151-153",,7,
TAXIOGD.157,157,"LINESTRING (16.291303904554965 48.161552655960584, 16.2912921116922 48.16135068768423)","13., Atzgersdorfer Straße ggü. 167",,4,
TAXIOGD.158,158,"LINESTRING (16.30086690877105 48.25107447467715, 16.301003316169574 48.2510413935838)","19., Neustift am Walde 79",,6,
TAXIOGD.159,159,"LINESTRING (16.342899269494396 48.25577249631046, 16.343097811154927 48.25578420007628)","19., Sandgasse ggü. 1",v. 8-18h,4,
TAXIOGD.160,160,"LINESTRING (16.338866725306758 48.25728593157495, 16.338783589830392 48.2571504851292)","19., Cobenzlgasse (Bereich Himmelstraße)",,3,
TAXIOGD.161,161,"LINESTRING (16.342330388686747 48.24497623855795, 16.34247766737447 48.245574387483025)","19., Obkirchergasse 38-44",,10,
TAXIOGD.162,162,"LINESTRING (16.34901578561843 48.24358191064435, 16.348961654783448 48.243440528001976, 16.34888400124919 48.243277154154725)","19., Silbergasse 1",,8,
TAXIOGD.163,163,"LINESTRING (16.366599933119854 48.2600527947893, 16.36698408290024 48.26009094646952)","19., Nußdorfer Platz ggü. 2",,6,
TAXIOGD.164,164,"LINESTRING (16.36513642861438 48.249795021919475, 16.36513335714136 48.24978069779346, 16.36500300862453 48.249560738935195, 16.364998401541865 48.24954232220145, 16.36500298725387 48.24952288018663, 16.365016765799858 48.24950548178916, 16.365041272308716 48.249496266666114, 16.365090290458905 48.249483975326214)","19., Boschstraße ggü. 8",,5,
TAXIOGD.165,165,"LINESTRING (16.403920271192852 48.14233571887924, 16.40442831012101 48.142228523643496)","10., Kurbadstraße ggü. 6",,10,
TAXIOGD.166,166,"LINESTRING (16.340241370214116 48.14360923375968, 16.340636790693853 48.14386266611988)","23., Richard-Strauss-Straße 23",,7,
TAXIOGD.167,167,"LINESTRING (16.383073680408433 48.15402201857118, 16.383723644100538 48.15380138332157)","10., Alaudagasse 50",,7,
TAXIOGD.168,168,"LINESTRING (16.383648891860386 48.14948148094937, 16.383623653514682 48.14938891355636, 16.38361310539151 48.14931597800758, 16.383619247974647 48.14915887428298)","10., Ada-Christen-Gasse 9",,7,
TAXIOGD.169,169,"LINESTRING (16.304422595280588 48.2109428571437, 16.304292072978956 48.210558567597886)","16., Montleartstraße ggü. 50-52",,8,
TAXIOGD.68,68,"LINESTRING (16.35002387185157 48.2282345043239, 16.35013753881792 48.228217804796245)","18., Canisiusgasse (U-Bahnunterführung)",v. 22-4h,1,
TAXIOGD.69,69,"LINESTRING (16.420369130731473 48.29822323896844, 16.420319171818246 48.29813051128892)","21., Bahnhofplatz 1",,2,
TAXIOGD.70,70,"LINESTRING (16.301131144749686 48.22823850998254, 16.301530231265932 48.22819805566842)","17., Dornbacher Straße 42-44",,6,
TAXIOGD.71,71,"LINESTRING (16.349308423181043 48.237070008269434, 16.349926849220093 48.23700052630686)","19., Hardtgasse 3-7",,8,
TAXIOGD.72,72,"LINESTRING (16.366987738874357 48.24616640601597, 16.36700072068513 48.246164474622844, 16.367015142305476 48.246161098321004, 16.367028392068395 48.2461569612905, 16.36720127039606 48.246090087852984)","19., Adolf-Raupenstrauch-Gasse (Bereich Muthgasse)",,3,
TAXIOGD.73,73,"LINESTRING (16.379577992534816 48.19131241514557, 16.37949215783285 48.19146500944184)","3., Prinz-Eugen-Straße 27",v. 9-17h,3,
TAXIOGD.74,74,"LINESTRING (16.40159729723233 48.25730706851956, 16.401980305227344 48.25765876642766)","21., Karl-Waldbrunner-Platz",,8,
TAXIOGD.75,75,"LINESTRING (16.302967238184962 48.187678308343514, 16.302684584452457 48.187757794069945, 16.302601930169434 48.18777324736273, 16.302535244947244 48.187783435232284, 16.302475792337543 48.187790401110256, 16.302409237388463 48.18779411720643)","13., Eduard-Klein-Gasse ggü.1",,8,
TAXIOGD.76,76,"LINESTRING (16.310675068617943 48.24127575636285, 16.310503117141803 48.24138691715681)","18., Pötzleinsdorfer Straße ggü. 66-68",,3,
TAXIOGD.77,77,"LINESTRING (16.33449176831393 48.225077130224314, 16.33471493882008 48.225329713530584)","18., Vinzenzgasse 3",,6,
TAXIOGD.78,78,"LINESTRING (16.336189436664828 48.228075020151735, 16.335726944717784 48.228171041845734)","18., Währinger Straße 145",,6,
TAXIOGD.79,79,"LINESTRING (16.364796685490074 48.249826827186276, 16.364715779643593 48.249619612362395)","19., Boschstraße 13",,4,
TAXIOGD.80,80,"LINESTRING (16.435563620288445 48.24206704788312, 16.435217226269895 48.241880879194674)","22., Wagramer Straße 92",,6,
TAXIOGD.81,81,"LINESTRING (16.35525557846941 48.25392029764386, 16.354903065576103 48.253891228437716)","19., Grinzinger Straße 81",,5,
TAXIOGD.82,82,"LINESTRING (16.341923940961795 48.25566521197513, 16.34185583627404 48.25568348042538, 16.341812936150035 48.255699598223224, 16.34177110849531 48.255717505579035, 16.341661712600658 48.25576585788871, 16.341588781367214 48.25579845130377)","19., Himmelstraße 7",,4,
TAXIOGD.83,83,"LINESTRING (16.320539688918828 48.243674750835275, 16.320237971163547 48.24381748228699)","19., Krottenbachstraße 183",,5,
TAXIOGD.84,84,"LINESTRING (16.40033880596484 48.26192560265029, 16.400412981689175 48.26205287412639)","21., Brünner Straße 34-38",,3,
TAXIOGD.85,85,"LINESTRING (16.36791627723473 48.21309217779917, 16.368185483815875 48.21297284782295)","1., Wipplingerstraße 28",v. 7-20h,4,
TAXIOGD.86,86,"LINESTRING (16.35725900800317 48.135587339343786, 16.357159761541883 48.13537200088514)","23., Laxenburger Straße 365",,5,
TAXIOGD.87,87,"LINESTRING (16.363380712387432 48.20613980910933, 16.36358108417931 48.20626002597907)","1., Heldenplatz",(v. 22-9.30h) (v. 1.9.-14.6. v. 9.30-22h),4,
TAXIOGD.88,88,"LINESTRING (16.363784074236033 48.20638125135002, 16.363984447913563 48.20650146751125)","1., Heldenplatz",(v. 22-9.30h) (v. 1.9.-14.6. v. 9.30-22h),4,
TAXIOGD.89,89,"LINESTRING (16.36398734277038 48.20650253587212, 16.36418771739542 48.206622749428035)","1., Heldenplatz",(v. 22-9.30h) (v. 9.30-22h),4,
TAXIOGD.90,90,"LINESTRING (16.364188620602434 48.206622950429384, 16.364388996168785 48.20674316475593)","1., Heldenplatz",(v. 22-9.30h) (v.1.9.-14.6.),4,
TAXIOGD.91,91,"LINESTRING (16.354551934940584 48.232484374626445, 16.35452961107899 48.23244912511179, 16.35450215661506 48.23240803537224, 16.354475610556047 48.23237097328244, 16.35444816009788 48.23233612701564, 16.35442221732248 48.23230611656182, 16.354394467192577 48.23227529925607, 16.354357367755053 48.23223723158973, 16.35431332943631 48.232194532422625, 16.354281962741158 48.23216613369385, 16.3542527049968 48.23213954674018, 16.354216209908905 48.23210651621399, 16.35420866874551 48.23209745232053, 16.35420387487908 48.23208737851295, 16.354201761790712 48.23207851610756, 16.35420447179933 48.23206723378612, 16.35420899143386 48.23205837033338, 16.354216827212845 48.232048900443786, 16.354228884647075 48.23203963223189, 16.354393771472814 48.23191994782455)","19., Döblinger Gürtel ggü. 2",,12,
TAXIOGD.92,92,"LINESTRING (16.35790338726379 48.23310081471916, 16.358161107100383 48.23314186071637)","9., Josef-Holaubek-Platz 1",,3,
TAXIOGD.93,93,"LINESTRING (16.36175292188056 48.22660725263049, 16.36187281695228 48.22628395692912)","9., Nordbergstraße 1-11",,7,
