FID,SHAPE,MERKMAL,SUBMERKMAL,SE_SDO_ROWID,SE_ANNO_CAD_DATA
RADWEGEOGD.16056531,"LINESTRING (16.39114416164829 48.243961449494364, 16.391240129297003 48.24431006676975, 16.391240791366123 48.244312242787174, 16.39129312822082 48.24451499453493)",Getrennte Führung,Verkehrsberuhigte Bereiche,16056531,
RADWEGEOGD.16056532,"LINESTRING (16.470682687609816 48.162537046481226, 16.470926446356586 48.162437232416565, 16.471133495934964 48.16234876549447, 16.47138027168588 48.16224676155816, 16.47146660084456 48.162211909967)",Getrennte Führung,Verkehrsberuhigte Bereiche,16056532,
RADWEGEOGD.16056533,"LINESTRING (16.535972230026925 48.20986246862924, 16.536056682113266 48.20984076509163, 16.536099783791727 48.20982846837051, 16.536137419580914 48.209811891399085, 16.53619128651699 48.209786158083325, 16.536333254125122 48.20972905597228, 16.5363333884616 48.20972900177917, 16.536476248133845 48.209676466472374, 16.53679143934912 48.20955938293945, 16.537144382505613 48.20942841898824, 16.537153317179897 48.20942517480838)",Getrennte Führung,baulicher Radweg,16056533,
RADWEGEOGD.16056534,"LINESTRING (16.348825557946217 48.14043251313635, 16.348424168652738 48.13977738730196)",Getrennte Führung,Verkehrsberuhigte Bereiche,16056534,
RADWEGEOGD.16056535,"LINESTRING (16.363693155128793 48.2351380686326, 16.363721261702803 48.23513640713523, 16.363864278300092 48.23511590425365, 16.363976640650794 48.235090849124056, 16.364092393924068 48.23506351779449, 16.364225189215656 48.2350361911667, 16.36439203325812 48.235017948057205, 16.364538450364464 48.23501336134736, 16.364630390441405 48.23501106326807, 16.36471211712268 48.2350155934511, 16.364790441907108 48.23502695021583, 16.364861082455786 48.23504221187346, 16.36494758902795 48.23507246105715, 16.364990847140522 48.23508414125266, 16.36502688568165 48.2350882600251, 16.3650639588155 48.235088943147645, 16.365443211368355 48.235095915428005, 16.36559206941087 48.23509878206134)",Getrennte Führung,baulicher Radweg,16056535,
RADWEGEOGD.16056536,"LINESTRING (16.254373695879686 48.19897139922321, 16.254435419868383 48.19894195437991, 16.25444193407497 48.19893977365851)",Markierte Anlagen,Radfahrerüberfahrt,16056536,
RADWEGEOGD.16056537,"LINESTRING (16.424246062867834 48.166778959594254, 16.424795088616513 48.166259860733376)",Getrennte Führung,baulicher Radweg,16056537,
RADWEGEOGD.16056538,"LINESTRING (16.36382502644631 48.23009463968314, 16.363869780120563 48.23001794433533, 16.363900535186353 48.22994124336752, 16.363942460457572 48.22981216361589, 16.36395502803173 48.22975510806612, 16.364002589040062 48.22969336757811, 16.364089323959366 48.22959234446594, 16.364142483998517 48.2295306025528, 16.364218008291513 48.2294333142338, 16.3643243152384 48.2292873833757, 16.36440544333311 48.2291751379526, 16.364478191813767 48.22909842645525, 16.364480991461747 48.229098425763056, 16.364597105590832 48.22897026267222, 16.36470902438893 48.22885051809043, 16.36488247689469 48.228652202862705, 16.365058746413435 48.22846323053367, 16.36511191153098 48.22841458217838, 16.365114711141658 48.228414581470744, 16.365122917091647 48.22840672838025, 16.365156467300412 48.22837463234945)",Getrennte Führung,baulicher Radweg,16056538,
RADWEGEOGD.16056539,"LINESTRING (16.43871797396133 48.21766858451327, 16.438711931958647 48.21776961011251, 16.438702132136388 48.21786897532957, 16.43868979101358 48.2179424604897, 16.438667433014132 48.21800677256897, 16.438638804134467 48.21806440831869, 16.43862140195563 48.21810366101413, 16.438609280419605 48.21815915964135, 16.438615396301504 48.21822974151908)",Markierte Anlagen,Radfahren gegen die Einbahn,16056539,
RADWEGEOGD.16056540,"LINESTRING (16.362005753659755 48.214592367629585, 16.362017759106546 48.2145976169283)",Markierte Anlagen,Radfahrerüberfahrt,16056540,
RADWEGEOGD.16056526,"LINESTRING (16.3867741471499 48.230378435432755, 16.386737285265912 48.23035680519474, 16.386707117970882 48.23034009124451, 16.386689601909495 48.23032201375065, 16.38665832659021 48.23030091162196, 16.38634626030269 48.23014383942648, 16.386327654122674 48.230139458910266, 16.386291328968312 48.2301432519085, 16.38626787692292 48.230138639678216, 16.386234409244942 48.23011892333507)",Getrennte Führung,baulicher Radweg,16056526,
RADWEGEOGD.16056541,"LINESTRING (16.31274264791917 48.169540353137435, 16.31248156501437 48.16879700873214)",Markierte Anlagen,Radfahren gegen die Einbahn,16056541,
RADWEGEOGD.16056542,"LINESTRING (16.34717484781769 48.21414649467726, 16.34659271791861 48.21382108677695, 16.34643301340362 48.213702256589826, 16.346375198588362 48.21365924747129, 16.346303691775514 48.213578387298654, 16.34611812235508 48.213368566090196, 16.34594275909244 48.21311610708132)",Markierte Anlagen,Radfahren gegen die Einbahn,16056542,
RADWEGEOGD.16056543,"LINESTRING (16.333071046920583 48.16236996379293, 16.333119804764834 48.16232917166973, 16.33322506375537 48.162234115663836, 16.333296311881632 48.16216522910498, 16.333393638907665 48.16207682775612, 16.333464751873404 48.162013786700115, 16.333561809478258 48.16192538520046, 16.333640988558745 48.16183716310869, 16.333752833492966 48.16171467733668, 16.333831205293297 48.16162870340703, 16.33389302908488 48.16155323322924, 16.33390715752328 48.16153598443975, 16.334001122470255 48.161430135597996, 16.334065916313236 48.16135902710418, 16.334091591832088 48.161330851690934, 16.334195100212156 48.16121645926102, 16.33428247744554 48.161108631561476, 16.334399159275254 48.16095880573571, 16.334472152025928 48.16087355074033, 16.334543128548344 48.16077777356654, 16.334611685332785 48.160679298341485, 16.33467204230405 48.16058019344798, 16.334727022588936 48.16046939723149, 16.33477326510161 48.16037182097033, 16.334800285213042 48.16029079206523, 16.334834564500348 48.1601810747545, 16.334862928876962 48.16008781502264, 16.334895998151527 48.15997746814944, 16.334929067156505 48.15987296687904, 16.334951919860003 48.15979058890244, 16.334966303937232 48.159721970517765, 16.334979344156245 48.15963671459923, 16.33498628089931 48.15959609213834, 16.33498633467209 48.159595795361476)",Getrennte Führung,gemischter Geh- und Radweg,16056543,
RADWEGEOGD.16056544,"LINESTRING (16.32306786304069 48.21750876322295, 16.322931500569936 48.217105476335995, 16.322920339956987 48.21707242518727)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16056544,
RADWEGEOGD.16056545,"LINESTRING (16.375272219404685 48.2749097603341, 16.37562157801115 48.274516166735424, 16.375863765283714 48.27428012288566, 16.377057298667278 48.273346321295556)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16056545,
RADWEGEOGD.16056546,"LINESTRING (16.401590358193122 48.22599921437383, 16.401752635846787 48.225864116594614, 16.402083101540068 48.22558693826054, 16.402346474408688 48.22536429616086, 16.402749680982872 48.225037251863796, 16.402765008090228 48.22502501228591, 16.402769979536757 48.22501862426389, 16.40277279933262 48.22501358646295, 16.402776559838838 48.22500746893786, 16.402777761425593 48.2250000039251, 16.402775595048602 48.22499002278458, 16.402771815725327 48.224981661347236)",Getrennte Führung,getrennter Geh- und Radweg,16056546,
