FID,SHAPE,MERKMAL,SUBMERKMAL,SE_SDO_ROWID,SE_ANNO_CAD_DATA
RADWEGEOGD.16059891,"LINESTRING (16.263108341270993 48.18040944786628, 16.263220938337653 48.180102481666545, 16.263222020123504 48.18009822855781, 16.263325994045076 48.17978337871201, 16.263396299674714 48.17957044566468, 16.263446885971543 48.17942821382863, 16.26345820588383 48.17933461950898, 16.263435964992606 48.179229780448324, 16.263413782378773 48.179083752453295, 16.263425263781784 48.17888533321368, 16.263403163107157 48.17867191902892, 16.263375487586256 48.17845475113278, 16.263365862162107 48.17842456378439, 16.263358766909963 48.17840232804589, 16.2633541795003 48.178375300503966, 16.263347304440245 48.178349503586695, 16.263335829936114 48.17833373120546, 16.263327562916828 48.17832237652573, 16.263286075556458 48.17829722320086, 16.263230487264245 48.17825943444096, 16.26315074548968 48.178205217702846, 16.2631484378794 48.17820155599671, 16.263126086132804 48.178166189450636)",Getrennte Führung,Verkehrsberuhigte Bereiche,16059891,
RADWEGEOGD.16059892,"LINESTRING (16.39465204660727 48.20571383939372, 16.39461202869868 48.205696296101316, 16.394563744144676 48.20568521410671, 16.394317538997477 48.2056476846976, 16.39426589638818 48.205641244761246, 16.39418516834557 48.20564797653685)",Markierte Anlagen,Mehrzweckstreifen,16059892,
RADWEGEOGD.16059893,"LINESTRING (16.435201132272827 48.259135130190515, 16.435220145519303 48.259224001577245, 16.435312566257505 48.25924049611521, 16.4353959893662 48.25925635984268)",Markierte Anlagen,Radfahrerüberfahrt,16059893,
RADWEGEOGD.16059894,"LINESTRING (16.46777842070197 48.22996540608369, 16.467972163448994 48.229802953011124, 16.468354819674534 48.22945342639706)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16059894,
RADWEGEOGD.16059895,"LINESTRING (16.495552593056672 48.19995466192676, 16.49504462122926 48.19653236631335, 16.494890598188693 48.1956863641323)",Getrennte Führung,Verkehrsberuhigte Bereiche,16059895,
RADWEGEOGD.16059896,"LINESTRING (16.40171736667872 48.31330337873748, 16.40175870377128 48.31336742134888, 16.402000598566687 48.31371326205811, 16.402305809599703 48.31415332153146, 16.40258854913194 48.31460242214669, 16.40261711693158 48.31465328806878, 16.402761051447207 48.31490960438589, 16.40288505441473 48.31513043668666, 16.403085951943932 48.31563118541815, 16.403214137280102 48.31591333822353, 16.40363612345591 48.316846493277545)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16059896,
RADWEGEOGD.16059897,"LINESTRING (16.439361282603514 48.190957153326195, 16.43967664896493 48.19105428389079, 16.439821868389487 48.19111474911647)",Markierte Anlagen,Radfahren gegen die Einbahn,16059897,
RADWEGEOGD.16059898,"LINESTRING (16.344511802339092 48.21686543637904, 16.344484092131747 48.216945598976594, 16.344522442040443 48.217409135251536, 16.34452303575027 48.21741890178232, 16.344562665453335 48.218065156473926)",Markierte Anlagen,Radfahren gegen die Einbahn,16059898,
RADWEGEOGD.16059899,"LINESTRING (16.305909235151535 48.19303936904436, 16.30588202606588 48.19283132218184)",Getrennte Führung,Verkehrsberuhigte Bereiche,16059899,
RADWEGEOGD.16059900,"LINESTRING (16.376231511368413 48.229174005517, 16.37745051551551 48.229571726517264, 16.37750295922501 48.22959292244784)",Getrennte Führung,gemischter Geh- und Radweg,16059900,
RADWEGEOGD.16059901,"LINESTRING (16.396795943891483 48.258363874035865, 16.396738317446747 48.25836481276656, 16.396704415155124 48.25837237586378, 16.396667729366136 48.25840635314898, 16.396566278628576 48.25862336508317, 16.39614642779561 48.259566871266664)",Markierte Anlagen,Radfahrstreifen (auf Fahrbahn mit Sperrlinie bzw. Leitlinie),16059901,
RADWEGEOGD.16059902,"LINESTRING (16.260405223507185 48.19510156324524, 16.260573009402496 48.19507488278876, 16.260850160466138 48.19503266148642)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16059902,
RADWEGEOGD.16059903,"LINESTRING (16.4521375880158 48.248325995065294, 16.452160549793827 48.24837540703837, 16.452176273545206 48.24843344172107, 16.452264685110883 48.24854674659261, 16.452335611081793 48.24862663267593, 16.452442581636735 48.24874149243208, 16.45268044989179 48.24895861499826, 16.452785663976417 48.249052441315406, 16.45282343925551 48.249078608895466)",Markierte Anlagen,Mehrzweckstreifen,16059903,
RADWEGEOGD.16060271,"LINESTRING (16.312438060217495 48.136782525861946, 16.312502504557674 48.13679721613385, 16.312754481539336 48.1368185815871, 16.312854385244652 48.1368279907904, 16.31287060146463 48.13682951392842, 16.312887369573424 48.13682876187322, 16.312895526688685 48.136825121234956, 16.312947491292142 48.13680572417536, 16.312965055223795 48.13679800246953, 16.312975294842527 48.13679440721037, 16.312988878700935 48.136793600541154, 16.313133280508232 48.13680514983305, 16.31319865715655 48.13680853533577, 16.314016359792028 48.13692138994085)",Getrennte Führung,baulicher Radweg,16060271,
RADWEGEOGD.16060272,"LINESTRING (16.512850154769573 48.16416123090178, 16.512527644853392 48.16383919255068, 16.511172162866107 48.16250227829675)",Getrennte Führung,Verkehrsberuhigte Bereiche,16060272,
RADWEGEOGD.16060273,"LINESTRING (16.321704357964855 48.187088923303456, 16.32266563151287 48.18712545276896, 16.32349726986766 48.18717410993822, 16.323606938469315 48.18720263933253)",Markierte Anlagen,Radfahren gegen die Einbahn,16060273,
RADWEGEOGD.16060274,"LINESTRING (16.4114681588645 48.25481251661007, 16.41146983189514 48.25481467385784, 16.411914920328954 48.25539081205946)",Markierte Anlagen,Radfahren gegen die Einbahn,16060274,
RADWEGEOGD.16060275,"LINESTRING (16.4122321260258 48.218047751106, 16.4121682080633 48.21808578955038)",Getrennte Führung,baulicher Radweg,16060275,
RADWEGEOGD.16060276,"LINESTRING (16.414099938692452 48.29910064874824, 16.411542879740715 48.299589139633845)",Getrennte Führung,Verkehrsberuhigte Bereiche,16060276,
RADWEGEOGD.16060277,"LINESTRING (16.321207472212343 48.155291181459646, 16.321441423566622 48.154467302834625, 16.321459587767162 48.154397580385115)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16060277,
RADWEGEOGD.16060278,"LINESTRING (16.28670291442357 48.16997247716066, 16.28677105066775 48.16998632000534, 16.287018789273894 48.170029521543704)",Markierte Anlagen,Mehrzweckstreifen,16060278,
RADWEGEOGD.16060279,"LINESTRING (16.469351676436375 48.157313813257616, 16.469296875087686 48.1572506991497)",Markierte Anlagen,Radfahrerüberfahrt,16060279,
RADWEGEOGD.16060280,"LINESTRING (16.3684678720417 48.18644771979939, 16.367709482282105 48.187290594979025)",Getrennte Führung,gemischter Geh- und Radweg,16060280,
RADWEGEOGD.16060281,"LINESTRING (16.339249252944263 48.1806522239035, 16.33926739199557 48.18063353548583, 16.33934379180385 48.180525254949835, 16.339343993473914 48.18052467937794)",Getrennte Führung,baulicher Radweg,16060281,
RADWEGEOGD.16060282,"LINESTRING (16.394312064781648 48.143289842249416, 16.396593641661468 48.14270745447129, 16.396635594802998 48.142686361110734, 16.396636318678134 48.14268488583122)",Getrennte Führung,Verkehrsberuhigte Bereiche,16060282,
RADWEGEOGD.16060283,"LINESTRING (16.50927683301255 48.18763756716375, 16.509326535950173 48.18754046447975, 16.509449684308546 48.18741971577509, 16.5096427923744 48.187334537395486, 16.510367371584483 48.18708233245892, 16.510614534098316 48.186979236920095, 16.5109471054066 48.186898826726264, 16.51136517692898 48.186863952756006, 16.511842967499824 48.18682326627565, 16.51217559456543 48.18675998451374, 16.512431317474977 48.18666827534279, 16.512559139401485 48.1866110082141, 16.513074520445688 48.1863334315574, 16.513861218769694 48.18589578566922, 16.5139862787907 48.18581867318836)",Getrennte Führung,Verkehrsberuhigte Bereiche,16060283,
RADWEGEOGD.16060284,"LINESTRING (16.328367264261466 48.245280588495724, 16.328341908163566 48.24530195444916, 16.32825303894766 48.24534250742335, 16.32812242902651 48.245394658581574, 16.327995856471244 48.24545706202902, 16.327571164947916 48.245654070722885)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16060284,
RADWEGEOGD.16060285,"LINESTRING (16.384798873629876 48.27502670454511, 16.385155373345544 48.27503308183745, 16.385509071817424 48.27504031357137, 16.3856527282615 48.27501811974536, 16.385673793069188 48.27501269682779, 16.385724569483173 48.27499963495045)",Markierte Anlagen,Radfahren gegen die Einbahn,16060285,
RADWEGEOGD.16060286,"LINESTRING (16.329174424444993 48.213822848255155, 16.32890955259193 48.21377658024273, 16.328309627524035 48.21366614127655)",Markierte Anlagen,Radfahrstreifen (auf Fahrbahn mit Sperrlinie bzw. Leitlinie),16060286,
RADWEGEOGD.16060287,"LINESTRING (16.413167786876556 48.16668254077981, 16.413268549524126 48.16661325214738, 16.413427017075712 48.16650312225424, 16.41376345956838 48.166275977781794, 16.413802192273508 48.16624189417703, 16.413866058417494 48.16619519401375, 16.413882910116126 48.16617325707694, 16.413907554985155 48.166050986231355, 16.413933320275596 48.16601176722749, 16.414648616094244 48.165485715174164, 16.414764686290955 48.16539892288646, 16.41482127408054 48.16538493560106, 16.414875886701772 48.165371606149066, 16.41496317974372 48.165305769663206)",Getrennte Führung,gemischter Geh- und Radweg,16060287,
RADWEGEOGD.16060288,"LINESTRING (16.37713440007916 48.20761268146195, 16.37713254404502 48.20761349151122, 16.376287199896822 48.2079885451776)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16060288,
RADWEGEOGD.16060289,"LINESTRING (16.35870833561757 48.21251691080572, 16.35861898287456 48.21252884433019, 16.3579113428611 48.212620018917534)",Getrennte Führung,baulicher Radweg,16060289,
RADWEGEOGD.16060290,"LINESTRING (16.288414491663517 48.18573335878898, 16.288416226901475 48.18573294582024, 16.288437453425846 48.18572775653704, 16.288492510542444 48.18571429850202, 16.289627934399082 48.185436755439746, 16.289636852642378 48.185434600669744)",Markierte Anlagen,Radfahren gegen die Einbahn,16060290,
RADWEGEOGD.16060291,"LINESTRING (16.38419997717476 48.16594452833739, 16.384292700518305 48.165992648282035, 16.38443082949978 48.16606282746373, 16.384553748359973 48.16611232843754, 16.384671680576485 48.16614825159133, 16.38479605870409 48.16617670749889, 16.38490617648298 48.16619410764402, 16.3850166251822 48.1662060036778, 16.385030943853383 48.16620754441561, 16.385140908807543 48.166205518995596, 16.38525107834543 48.166192512632826, 16.385273176767626 48.16618990412539, 16.385395352285737 48.16616404113821, 16.38551603023343 48.16611875325984, 16.385602012966675 48.16606187893093, 16.38566058664785 48.166021114274926, 16.385691756950994 48.16600221500747, 16.385695332294112 48.16600161091616)",Getrennte Führung,gemischter Geh- und Radweg,16060291,
RADWEGEOGD.16060292,"LINESTRING (16.372767673761107 48.20151553990953, 16.37154747740012 48.20178332655618, 16.371479633933518 48.20178108119966)",Getrennte Führung,gemischter Geh- und Radweg,16060292,
RADWEGEOGD.16060293,"LINESTRING (16.40940012386446 48.2521032421242, 16.40960123715981 48.25233819351655, 16.41004107601651 48.25299199805538, 16.4100713724543 48.25303703402423, 16.410072209144857 48.25303827453442)",Markierte Anlagen,Radfahren gegen die Einbahn,16060293,
RADWEGEOGD.16060294,"LINESTRING (16.361335165734893 48.229501109156125, 16.36123023266012 48.22887151317125, 16.36121833097375 48.22883746773145)",Markierte Anlagen,Radfahren gegen die Einbahn,16060294,
RADWEGEOGD.16060295,"LINESTRING (16.295430346090203 48.173811920857425, 16.295867193088398 48.174095684942415, 16.29663636297119 48.17459182900079)",Markierte Anlagen,Radfahren gegen die Einbahn,16060295,
RADWEGEOGD.16060296,"LINESTRING (16.459647146620277 48.24065234130096, 16.45962415431877 48.2406588860311, 16.459580273441883 48.24068462654852, 16.459555604003242 48.24071033742231, 16.459539240286986 48.24075806354103, 16.45949821167107 48.24082784031009, 16.45945162805425 48.240877433453875, 16.459328227691145 48.24096747911136, 16.45920208485609 48.24105936217026, 16.459097900212857 48.241140214005455, 16.459051293934724 48.24118063401877, 16.459007469207567 48.24123572782191)",Getrennte Führung,baulicher Radweg,16060296,
RADWEGEOGD.16060645,"LINESTRING (16.376508940563408 48.20346168672166, 16.37670582982867 48.20338010304084)",Markierte Anlagen,Radfahrerüberfahrt,16060645,
RADWEGEOGD.16060646,"LINESTRING (16.459903217433478 48.24057708106108, 16.459647146620277 48.24065234130096)",Markierte Anlagen,Radfahrerüberfahrt,16060646,
RADWEGEOGD.16060647,"LINESTRING (16.336875877694762 48.16015821742789, 16.336806074620924 48.16017280496171, 16.336622836857593 48.160259402042996)",Markierte Anlagen,Radfahrerüberfahrt,16060647,
RADWEGEOGD.16060648,"LINESTRING (16.331076573243095 48.206837858320505, 16.331083743735103 48.206843002729094, 16.33112104915095 48.20686976803626, 16.331137434155185 48.20689062392022, 16.331145221696676 48.20691513066594, 16.3311561431432 48.20694901743021, 16.331152869157325 48.20699781428006, 16.3311502418735 48.20703704241463, 16.33114897539144 48.207055901056776)",Markierte Anlagen,Radfahren gegen die Einbahn,16060648,
RADWEGEOGD.16060649,"LINESTRING (16.376434505144882 48.186550552834, 16.37640392369116 48.18653456464971, 16.376368027935545 48.18651591633059, 16.376284282011373 48.186480395505384, 16.375656843695232 48.18624911912036, 16.375131755027855 48.186053786395334, 16.374458460611603 48.18579505376174, 16.37428032290646 48.18570625120525, 16.374256390921104 48.185642362385956, 16.37421738912741 48.18560445995639, 16.37415889768174 48.185580773251466, 16.374020650367026 48.185529872444626)",Getrennte Führung,getrennter Geh- und Radweg,16060649,
RADWEGEOGD.16060650,"LINESTRING (16.336676762393335 48.197675355224945, 16.33636937902979 48.197592637089485, 16.335333153147076 48.19729572498254, 16.3352085656889 48.19726655021407, 16.335124493974824 48.197254894386866, 16.335081933408024 48.197255181817866, 16.335070230577774 48.197256278888226)",Getrennte Führung,baulicher Radweg,16060650,
RADWEGEOGD.16060651,"LINESTRING (16.45289915535855 48.25393189801672, 16.453374841638574 48.253796660937475, 16.454815982482742 48.25338423245508)",Getrennte Führung,Verkehrsberuhigte Bereiche,16060651,
RADWEGEOGD.16060652,"LINESTRING (16.374789919304636 48.211159225566185, 16.37418745783303 48.21069635951971)",Markierte Anlagen,Radfahren gegen die Einbahn,16060652,
RADWEGEOGD.16060653,"LINESTRING (16.37414630755316 48.223695450725174, 16.374208822320078 48.22373214004459, 16.37434697985326 48.22381320335426)",Markierte Anlagen,Radfahrerüberfahrt,16060653,
RADWEGEOGD.16060654,"LINESTRING (16.406289356145326 48.197794374746145, 16.406275806403144 48.19781118230979, 16.406248535225394 48.19782744966607, 16.406221250578724 48.197843717024035, 16.40619937036468 48.197867553347166, 16.406098381560533 48.19793138565993, 16.405872845426995 48.198056240464524, 16.405597720788055 48.19822763762789, 16.405334531366996 48.19837303660777, 16.40531377763878 48.19838479422306, 16.40510051375711 48.198505647130354, 16.404672638901488 48.19872803517696, 16.404615681648725 48.19878706450187, 16.40460160918737 48.19879582326985, 16.40460049360361 48.19879651641083)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16060654,
RADWEGEOGD.16060655,"LINESTRING (16.336809228077183 48.20549268262051, 16.336839632862862 48.20546074762918)",Markierte Anlagen,Radfahrerüberfahrt,16060655,
RADWEGEOGD.16060656,"LINESTRING (16.382626566418843 48.146736169588195, 16.38263700663801 48.14652678395355)",Getrennte Führung,baulicher Radweg,16060656,
RADWEGEOGD.16060657,"LINESTRING (16.309556885067856 48.201058141390746, 16.309596272294936 48.20103530776236, 16.31055781031338 48.200477965279646, 16.310762874977577 48.200347285568405, 16.3107636150894 48.200346809092146)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16060657,
RADWEGEOGD.16060658,"LINESTRING (16.390352740015363 48.17591521320422, 16.390811084438322 48.17585190829064)",Markierte Anlagen,Radfahrerüberfahrt,16060658,
RADWEGEOGD.16060659,"LINESTRING (16.345101909427505 48.20689955474829, 16.345094886738906 48.206901344943546, 16.34340137970979 48.20731679765635)",Markierte Anlagen,Radfahren gegen die Einbahn,16060659,
RADWEGEOGD.16060660,"LINESTRING (16.369175468419854 48.20897607957732, 16.369197982427547 48.208983060786224, 16.369262600540843 48.20899735028093, 16.36930422209226 48.209007446579825, 16.369347355825724 48.209025645277144, 16.369389151240146 48.209054798034366, 16.36946469163494 48.20910584835004, 16.36954154962434 48.20915519852163, 16.36964546633407 48.2092271136086)",Getrennte Führung,Verkehrsberuhigte Bereiche,16060660,
RADWEGEOGD.16060661,"LINESTRING (16.37911509579617 48.23850560748421, 16.379120213633396 48.23850817760236, 16.37918025670265 48.23854156457222, 16.379278120260352 48.23856456821984)",Markierte Anlagen,Radfahrerüberfahrt,16060661,
RADWEGEOGD.16060662,"LINESTRING (16.443637738113043 48.221505586562486, 16.443535229099066 48.22107464038084, 16.443477524957693 48.220882960174485, 16.44343323604127 48.22063218235037, 16.443420538612358 48.22054523036118, 16.443411310480677 48.22044406593822, 16.44340542890445 48.22033435488662, 16.443401316759267 48.22023417492964, 16.443401544678782 48.22015008867442, 16.44339880255645 48.220061508611096, 16.443402824132693 48.21998964950881, 16.443406804518297 48.219898095423375, 16.443415584417792 48.21978495327, 16.443422599036545 48.21973505266612)",Getrennte Führung,gemischter Geh- und Radweg,16060662,
RADWEGEOGD.16060663,"LINESTRING (16.42228164907489 48.251289600156554, 16.422253358468502 48.251266023447336, 16.42223213183345 48.25124717181296, 16.42294073999164 48.25003384553746)",Getrennte Führung,Verkehrsberuhigte Bereiche,16060663,
RADWEGEOGD.16060664,"LINESTRING (16.360863899934103 48.22550723844086, 16.360792366639227 48.22550888161637, 16.360717720860126 48.2255313085845, 16.360690652456007 48.22555407605077, 16.360670258691943 48.225574836609155, 16.36065314420176 48.22561389752192, 16.36058603605805 48.22583520629284)",Markierte Anlagen,Mehrzweckstreifen,16060664,
RADWEGEOGD.16060665,"LINESTRING (16.403518322757936 48.21796856899026, 16.40259356316644 48.21796910792785, 16.401211730810765 48.21797388335103)",Getrennte Führung,baulicher Radweg,16060665,
RADWEGEOGD.16060666,"LINESTRING (16.329954187113085 48.16589899736236, 16.330097415599745 48.16586852677024, 16.33038631887176 48.165806398062614, 16.330659628288302 48.165734465261856, 16.331017495874438 48.165652912774895, 16.331260017268622 48.1655954563147, 16.331484792062373 48.16554950999076, 16.331739545357163 48.165496819422735, 16.331947110691928 48.16546741911625, 16.332149299041642 48.165431093454245, 16.332429457687184 48.165392161880014, 16.33259144944009 48.16536930604563, 16.33262062138375 48.165365188014555, 16.332886663835815 48.1653289528765, 16.33301686144521 48.16531785872582, 16.333141009551884 48.16530728588276, 16.333290537934644 48.165302918857066, 16.33329906090396 48.16530266725072)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16060666,
RADWEGEOGD.16060667,"LINESTRING (16.37488820895146 48.27765415303434, 16.374786527652176 48.277649385032134, 16.374669541744737 48.27764493683817, 16.37436703349076 48.277670173657306, 16.373226047937525 48.27777556022914)",Markierte Anlagen,Radfahren gegen die Einbahn,16060667,
RADWEGEOGD.16060668,"LINESTRING (16.342583407241083 48.195667620429646, 16.342445969255767 48.195601672050586, 16.34179457725009 48.195267959896626, 16.341712911247072 48.19522189179672, 16.341712077187726 48.19522099251807, 16.34168229318883 48.195188627462905, 16.341673599485404 48.1951485811798, 16.34167190381358 48.19514079315365)",Getrennte Führung,Radfahren in Wohnstrassen,16060668,
RADWEGEOGD.16060643,"LINESTRING (16.431592651029113 48.187082295502705, 16.43157106411674 48.187088716607576, 16.431459273047064 48.18712265089368, 16.43140318201982 48.187146637359355, 16.431314850507675 48.18719776505016, 16.431220229965312 48.187258979268634, 16.431110527058273 48.18733881283426, 16.431022887939598 48.187401073321325)",Getrennte Führung,Verkehrsberuhigte Bereiche,16060643,
RADWEGEOGD.16060644,"LINESTRING (16.37528673570182 48.200412187865254, 16.375279937894003 48.20042407018816)",Getrennte Führung,baulicher Radweg,16060644,
RADWEGEOGD.16059551,"LINESTRING (16.510488647478898 48.2087953597453, 16.510490595483265 48.20876281047062, 16.510497903330197 48.2086406000486, 16.510527564784805 48.20805665478542, 16.51053177153394 48.20772262365144)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16059551,
RADWEGEOGD.16059552,"LINESTRING (16.361725350140933 48.21105343840252, 16.36166347720847 48.21104080780206, 16.361579941145393 48.21102730964279, 16.361474693329697 48.21102340294798, 16.361275581228522 48.21104392425932, 16.361121139482844 48.21106344624487, 16.36103745367073 48.21107380661098)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16059552,
RADWEGEOGD.16059553,"LINESTRING (16.364545322412248 48.258997074116074, 16.36458649641376 48.25893033512299, 16.364632086310948 48.258812784015596, 16.364683061136223 48.25869181416981, 16.364750589763936 48.25857510289679, 16.364785364422797 48.258529463232684, 16.36482250229177 48.2584953161458, 16.364851921319836 48.25848179215438, 16.364876941144367 48.2584766328396)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16059553,
RADWEGEOGD.16059554,"LINESTRING (16.393999647247067 48.20969584574716, 16.394004622543747 48.209705142182315, 16.394781948026083 48.20997867982882, 16.39480385205726 48.210001817068736, 16.394827687640813 48.21000798319656)",Getrennte Führung,getrennter Geh- und Radweg,16059554,
RADWEGEOGD.16059555,"LINESTRING (16.3904126828967 48.1760433203854, 16.390357688651996 48.17590298906966)",Markierte Anlagen,Radfahrerüberfahrt,16059555,
RADWEGEOGD.16059556,"LINESTRING (16.423191709814095 48.1725859782699, 16.423192254051447 48.17258184096979, 16.423195850296054 48.17257769236278, 16.423207702978626 48.17257423896833, 16.423318964048057 48.17253655384745, 16.423449133446432 48.172477944975405, 16.42407009368311 48.172156871383926, 16.4244666476937 48.17195871590089, 16.42483337971279 48.17177712963146, 16.42516992663538 48.17160391131355, 16.425482926914736 48.171452384023965, 16.425702476759128 48.17134265741123, 16.4257343427777 48.17132068006614, 16.425760826623318 48.17129626075228, 16.42578191786958 48.17128654058923)",Getrennte Führung,gemischter Geh- und Radweg,16059556,
RADWEGEOGD.16059557,"LINESTRING (16.32882563311239 48.15261299099904, 16.328822891404148 48.15261286492088, 16.328810634999144 48.15260772899526, 16.32872719379421 48.152560590007845)",Markierte Anlagen,Radfahrerüberfahrt,16059557,
RADWEGEOGD.16059558,"LINESTRING (16.358580498609953 48.183899517391225, 16.357401258162756 48.18328928295407)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16059558,
RADWEGEOGD.16059559,"LINESTRING (16.37202627445537 48.161695051024495, 16.371990138228558 48.161709172737176, 16.37105101695222 48.16175637129671, 16.370902566108576 48.16176382683718, 16.370895174470665 48.1617661673229)",Getrennte Führung,gemischter Geh- und Radweg,16059559,
RADWEGEOGD.16059560,"LINESTRING (16.411413978911725 48.252546505190516, 16.412957007872887 48.2519809321524, 16.412999007826418 48.2519809040542, 16.41302728396179 48.251988439340174)",Markierte Anlagen,Radfahren gegen die Einbahn,16059560,
RADWEGEOGD.16059561,"LINESTRING (16.389244698620278 48.21242893897514, 16.389231724387006 48.213140592514385)",Getrennte Führung,gemischter Geh- und Radweg,16059561,
RADWEGEOGD.16059562,"LINESTRING (16.276150974954476 48.17596808964869, 16.27612128046299 48.175984657684396, 16.276007990626642 48.17604890014734, 16.275995462406556 48.17605749112891, 16.275942321725278 48.176093921900836, 16.275889563789356 48.17613643227048, 16.275839214354654 48.17618892636046, 16.27578964891831 48.176260756279056, 16.27576160594411 48.17632495322187, 16.27575185246526 48.17638664164885, 16.27575315977055 48.17642991774652)",Markierte Anlagen,Radfahren gegen die Einbahn,16059562,
RADWEGEOGD.16059563,"LINESTRING (16.294616482738803 48.20279409804499, 16.29462205924529 48.20281880433644, 16.294646376060797 48.20292657844252, 16.294723943593517 48.20314698436476)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16059563,
RADWEGEOGD.16059564,"LINESTRING (16.405113962866267 48.273161458797205, 16.404479635993045 48.27205297369939, 16.404455650726494 48.27199751866856)",Getrennte Führung,Verkehrsberuhigte Bereiche,16059564,
RADWEGEOGD.16059565,"LINESTRING (16.46946838214018 48.16713604417688, 16.469581250388106 48.16722236517384)",Markierte Anlagen,Radfahrerüberfahrt,16059565,
RADWEGEOGD.16059566,"LINESTRING (16.323413545134176 48.18314879244307, 16.323557670706638 48.18362476516759, 16.323619692999937 48.18384553734755)",Markierte Anlagen,Radfahren gegen die Einbahn,16059566,
RADWEGEOGD.16059567,"LINESTRING (16.4378481272959 48.212722117706896, 16.438155450681286 48.21252506560509, 16.43833836629043 48.21241770440888, 16.43843035759492 48.21232805053859, 16.438550551806355 48.212211751664, 16.438628846864543 48.21212314405613, 16.438641520123483 48.21210880662499)",Getrennte Führung,Verkehrsberuhigte Bereiche,16059567,
RADWEGEOGD.16059568,"LINESTRING (16.36203840721428 48.194158193540375, 16.36214274929169 48.19424760727194, 16.362274884011715 48.19434299504855, 16.36241428715692 48.1944471943399, 16.362426047771475 48.19445623880033)",Getrennte Führung,getrennter Geh- und Radweg,16059568,
RADWEGEOGD.16059569,"LINESTRING (16.3470245099815 48.19911796188624, 16.34711710473434 48.198827400979205, 16.347192324455385 48.19868764850621, 16.34769525055044 48.197503258116285)",Getrennte Führung,Verkehrsberuhigte Bereiche,16059569,
RADWEGEOGD.16059570,"LINESTRING (16.32459808516185 48.18627483186061, 16.324678222626304 48.18628807782485, 16.324830872892186 48.18631185289175, 16.324837744896584 48.18631300469341, 16.325193798276533 48.18637385097214)",Markierte Anlagen,Mehrzweckstreifen,16059570,
RADWEGEOGD.16059571,"LINESTRING (16.411356974081915 48.26047641689773, 16.41166937885724 48.26025664544998, 16.4120725007185 48.259963888188175, 16.41249465801791 48.259686827785, 16.41254092664056 48.259655051385096, 16.41257075113348 48.259632422896736, 16.412598894026235 48.25961107253976)",Getrennte Führung,baulicher Radweg,16059571,
RADWEGEOGD.16059548,"LINESTRING (16.33057536168239 48.20843836041545, 16.330921818089326 48.208390802490484, 16.331265328116956 48.208334897730325, 16.331590377350025 48.20828614979731)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16059548,
RADWEGEOGD.16059549,"LINESTRING (16.280596729780047 48.14058208230977, 16.280420042353697 48.1406022408041, 16.280382250043413 48.140609929749225, 16.280358878467602 48.14061469386018, 16.28003633507415 48.14067218406186, 16.27953235045552 48.14077032385039, 16.278998944985098 48.140861611931264, 16.27850356201144 48.14095444543828, 16.27839859706969 48.14097552704902, 16.278116363285225 48.141029794491004, 16.2779970727513 48.141052325424575, 16.27795574572621 48.14106013769182)",Radroute,"Radroute (beschilderte Route, Radverkehr wird im Mischverkehr geführt)",16059549,
RADWEGEOGD.16059550,"LINESTRING (16.415057282592137 48.13717443247764, 16.414985454058474 48.136893459516806, 16.41490896308917 48.13667322138447, 16.41484610860046 48.136478460830425, 16.414766896995978 48.13626186673549, 16.414693149206144 48.1360507277673, 16.41465757856198 48.135914206959505, 16.414654861812323 48.135912383179296, 16.41459468152841 48.13569031700003, 16.414545414919857 48.13548827138923, 16.414512494754092 48.13530076573975, 16.414471397896843 48.13510781571842, 16.414416713231653 48.134920333869616, 16.414378488344557 48.13482204524684, 16.41435124019951 48.134785658962116, 16.414333533219036 48.13476836792737, 16.41432994996106 48.13473559880778)",Getrennte Führung,Verkehrsberuhigte Bereiche,16059550,
