FID,SHAPE,BEZIRK,ADRESSE,WEITERE_INFORMATION,TERMINE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,STANDORT_ID
MOBPROBLEMSTOFFOGD.227812,POINT (16.39145073910908 48.208990892428886),3,Kolonitzplatz vor 3,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227812,,3M2
MOBPROBLEMSTOFFOGD.227813,POINT (16.422320517995175 48.21148040766231),2,Meiereistraße ggü 8,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227813,,2M3
MOBPROBLEMSTOFFOGD.227814,POINT (16.422482762587357 48.22689953277161),22,Schüttaustraße vor 57,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227814,,22M3
MOBPROBLEMSTOFFOGD.227815,POINT (16.41305361379708 48.174188541997076),11,Gottschalkgasse ggü 13-15,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227815,,11M1
MOBPROBLEMSTOFFOGD.227829,POINT (16.525421509677443 48.214830112897815),22,Gartenheimstraße vor 5,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227829,,22M5
MOBPROBLEMSTOFFOGD.227844,POINT (16.3511503878007 48.21187413286851),8,Florianigasse ggü 19,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227844,,8M1
MOBPROBLEMSTOFFOGD.227847,POINT (16.439947009949094 48.24304978998312),22,Maurichgasse ggü 16,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227847,,22M1
MOBPROBLEMSTOFFOGD.227848,POINT (16.281668075335155 48.13586211740222),23,Breitenfurter Straße vor 360-368,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227848,,23M7
MOBPROBLEMSTOFFOGD.227849,POINT (16.31006087880295 48.13004287842667),23,Porschestraße ggü 21-23,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227849,,23M6
MOBPROBLEMSTOFFOGD.227850,POINT (16.272392508141877 48.166343461777004),13,Dr.-Schober-Straße vor 1,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa.html,http://www.wien.gv.at/umwelt/ma48/entsorgung/problemstoffsammlung/mobile-prosa-sammeltermine.html,227850,,13M6
