FID,OBJECTID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION,SE_ANNO_CAD_DATA
HUNDESACKERLOGD.31004403,31004403,POINT (16.3124613592213 48.18795462411188),14,Hadikpark (Hundezone),,648,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004404,31004404,POINT (16.314865851861118 48.190358344432916),14,Heinz-Conrads-Park,,761,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004405,31004405,POINT (16.315381522087286 48.19116269520083),14,Heinz-Conrads-Park,,762,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004406,31004406,POINT (16.315769137908102 48.191857564749064),14,Heinz-Conrads-Park,,759,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004407,31004407,POINT (16.314452635759135 48.19136239838354),14,Jakschgasse/Zichygasse,,760,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004408,31004408,POINT (16.301175600004218 48.1962208403582),14,Matzner-Park (Hundezone),,643,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004409,31004409,POINT (16.320005669205273 48.20447994478051),15,Auf der Schmelz,,659,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004410,31004410,POINT (16.324459139318414 48.20534315020511),15,Auf der Schmelz,,658,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004411,31004411,POINT (16.323157003056878 48.20246675750723),15,Auf der Schmelz,,656,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004412,31004412,POINT (16.325223617324323 48.202368144602495),15,Auf der Schmelz,,655,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004413,31004413,POINT (16.32275702288439 48.200910198959875),15,Auf der Schmelz,,657,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004414,31004414,POINT (16.30752349866935 48.21640340783996),16,Musilplatz,,780,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004415,31004415,POINT (16.307297898811694 48.21531703393607),16,Musilplatz,,781,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004416,31004416,POINT (16.307708210604474 48.209335756337296),16,Wiesbergplatz,,782,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004417,31004417,POINT (16.30174481907788 48.2210485239343),16,Baumeistergasse/Lewinskygasse,,686,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004418,31004418,POINT (16.306378704264112 48.22042941303641),16,Nietzscheplatz,,818,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004419,31004419,POINT (16.30972647958547 48.22306164280581),16,Kongresspark,,1572,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004420,31004420,POINT (16.31471528960652 48.22352971732991),17,Hernalser Hauptstraße 183,,705,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004421,31004421,POINT (16.307588214763136 48.20109284049875),14,Ordeltpark (Hundezone),,820,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004422,31004422,POINT (16.389780071895835 48.2630348760339),21,Edisonstraße,,1574,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004423,31004423,POINT (16.31674464296796 48.17843497772153),12,Steinweisweg (Hundezone),,768,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004424,31004424,POINT (16.398872709596322 48.20397960543969),2,Schüttelpromenade/Halmgasse,,1578,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004425,31004425,POINT (16.33969009319242 48.18885266658228),6,Gumpendorfer Gürtel 2,,1580,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004426,31004426,POINT (16.33925938748149 48.18900740483877),6,Gumpendorfer Gürtel 2,,1579,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004427,31004427,POINT (16.32062288737244 48.251982972324626),19,Sieveringer Park,,1576,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004428,31004428,POINT (16.312595043637153 48.13090288177034),23,Wiener Flur,,1577,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004429,31004429,POINT (16.306424935908126 48.148294322544984),23,Gregorygasse/Anton-Baumgartner-Straße,,1581,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004430,31004430,POINT (16.306603448343452 48.15039056020462),23,Gregorygasse 45,,1582,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004431,31004431,POINT (16.281157947655846 48.20622152563422),14,Steinhofer Park - Mittelpark,,1573,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004432,31004432,POINT (16.422447747834475 48.16015143531111),11,Am Kanal/Gattergasse,,1589,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004433,31004433,POINT (16.425525282845477 48.17654513632676),11,Lautenschlägergasse,,1590,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004434,31004434,POINT (16.438200117651153 48.23871906641673),22,Donaustadtstraße 26 (Hundezone),,1583,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004435,31004435,POINT (16.413884879588107 48.175934829818836),11,Enkplatz,,1584,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004436,31004436,POINT (16.350293285184044 48.25932091115091),19,Beethovenpark,,935,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004437,31004437,POINT (16.353422758635638 48.25840427134544),19,Beethovenpark,,936,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003482,31003482,POINT (16.34076673438086 48.17767783416828),12,Längenfeldgasse,68,0410,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003502,31003502,POINT (16.34877605059842 48.211978633041355),8,Florianigasse,34,3221,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003503,31003503,POINT (16.34152012556238 48.20931826209822),8,Pfeilgasse,43,0100,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31003521,31003521,POINT (16.487710619291285 48.23326451595303),22,Ostbahnbegleitstraße,2,1195,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.31004438,31004438,POINT (16.41691194597625 48.16791958210207),11,Luise-Montag-Park (Hundezone),,1550,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
