FID,OBJECTID,SHAPE,SE_ANNO_CAD_DATA
HYDRANTOGD.9278907,9278907,POINT (16.52175192380226 48.23238245833523),
HYDRANTOGD.9278908,9278908,POINT (16.297312560549795 48.19535662534307),
HYDRANTOGD.9278909,9278909,POINT (16.40412908703296 48.18951734339375),
HYDRANTOGD.9278910,9278910,POINT (16.34915477465701 48.15798346246064),
HYDRANTOGD.9278911,9278911,POINT (16.34697870219011 48.257579535674935),
HYDRANTOGD.9278912,9278912,POINT (16.355314197911962 48.242605540585984),
HYDRANTOGD.9278913,9278913,POINT (16.369035398541442 48.19628639285517),
HYDRANTOGD.9277381,9277381,POINT (16.27929651348669 48.18246480741099),
HYDRANTOGD.9277382,9277382,POINT (16.354966287785892 48.204244404309755),
HYDRANTOGD.9277383,9277383,POINT (16.396546581226147 48.15343119151115),
HYDRANTOGD.9277384,9277384,POINT (16.421606641893582 48.27903558084301),
HYDRANTOGD.9277385,9277385,POINT (16.275247536296597 48.214942618512914),
HYDRANTOGD.9277386,9277386,POINT (16.402269015144594 48.27797798682702),
HYDRANTOGD.9277387,9277387,POINT (16.475832590779728 48.17082449669933),
HYDRANTOGD.9277388,9277388,POINT (16.288974756483544 48.23646575122488),
HYDRANTOGD.9277389,9277389,POINT (16.289422359915594 48.13376431326278),
HYDRANTOGD.9277390,9277390,POINT (16.465314423145273 48.26296189353385),
HYDRANTOGD.9277391,9277391,POINT (16.408358093114053 48.25083281598368),
HYDRANTOGD.9277392,9277392,POINT (16.38770374970258 48.14142444984377),
HYDRANTOGD.9277393,9277393,POINT (16.278794340739385 48.17711335724841),
HYDRANTOGD.9277394,9277394,POINT (16.396882784541738 48.211681254199966),
HYDRANTOGD.9277395,9277395,POINT (16.283405357490988 48.20486531764065),
HYDRANTOGD.9277396,9277396,POINT (16.275015044851838 48.14223842433985),
HYDRANTOGD.9277397,9277397,POINT (16.375719944886285 48.17077097679359),
HYDRANTOGD.9277398,9277398,POINT (16.418029191459517 48.17015998335069),
HYDRANTOGD.9277399,9277399,POINT (16.325576087411957 48.24938380090189),
HYDRANTOGD.9277400,9277400,POINT (16.363007135660595 48.21402180851342),
HYDRANTOGD.9277401,9277401,POINT (16.34518624948998 48.19886083642443),
HYDRANTOGD.9277402,9277402,POINT (16.276127734145046 48.192598547232585),
HYDRANTOGD.9277403,9277403,POINT (16.38603159287573 48.21440134160382),
