FID,SHAPE,BEZIRK,KREUZUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
AKUSTISCHEAMPELOGD.24,POINT (16.47285712326279 48.222810566144375),22,Erzherzog Karl-Str.-Lavanterstr.,24,
AKUSTISCHEAMPELOGD.25,POINT (16.46831292319148 48.21895135462514),22,Langobardenstr.-ON 113,25,
AKUSTISCHEAMPELOGD.27,POINT (16.443856717937756 48.22156916541495),22,Donaustadtstr.-Deinleing.,27,
AKUSTISCHEAMPELOGD.28,POINT (16.501483392584777 48.25123649597528),22,Breitenleer Straße-Schukowitzgasse,28,
AKUSTISCHEAMPELOGD.31,POINT (16.368477678422796 48.2490121568343),19,Muthgasse-Mooslackengasse,31,
AKUSTISCHEAMPELOGD.34,POINT (16.449186653950893 48.21999133144492),22,Kaisermühlenstr.-Zufahrt Bushof,34,
AKUSTISCHEAMPELOGD.35,POINT (16.449443163244673 48.21997638482673),22,Kaisermühlenstr.-Ausfahrt Bushof,35,
AKUSTISCHEAMPELOGD.36,POINT (16.35880018439778 48.174383692124024),10,Gußrieglstraße-Davidgasse,36,
AKUSTISCHEAMPELOGD.37,POINT (16.301831560359805 48.19198871459735),14,Einwanggasse-Cumberlandstraße,37,
AKUSTISCHEAMPELOGD.38,POINT (16.287276874034404 48.19134506200603),14,Hadikg.-Zehetnerg.,38,
AKUSTISCHEAMPELOGD.39,POINT (16.21341388240167 48.209248228841815),14,Josef Palmepl.-Kielmannseggbrücke,39,
AKUSTISCHEAMPELOGD.42,POINT (16.460699283699466 48.17588424853063),,Johann-Petrak-Gasse-ON 7 / MVA Pfaffenau,42,
AKUSTISCHEAMPELOGD.43,POINT (16.458813927711038 48.16954656948267),11,11. Haidequerstr.-Jedletzbergerstrasse,43,
AKUSTISCHEAMPELOGD.340,POINT (16.360512131039403 48.22535148950787),9,Julius Tandler-Pl.-Althanstr./Alserb.Str.,340,
AKUSTISCHEAMPELOGD.343,POINT (16.348160668549095 48.21739505007845),9,Lazarettg.-Pelikang.,343,
AKUSTISCHEAMPELOGD.344,POINT (16.339547496285256 48.21108755711629),8,Lerchenf. Gürtel-Josefstädter Str.,344,
AKUSTISCHEAMPELOGD.347,POINT (16.356444359258475 48.20443246888665),7,Burgg.-Breite G.,347,
AKUSTISCHEAMPELOGD.348,POINT (16.345070099752306 48.19928757252519),7,Lindeng.-Zieglerg.,348,
AKUSTISCHEAMPELOGD.349,POINT (16.340718687625024 48.17809120970037),12,Längenfeldg.-Karl Löwe-G.,349,
AKUSTISCHEAMPELOGD.350,POINT (16.307978144264364 48.17044047355196),12,Edelsinnstr.-Gaßmannstr./Graf Seile,350,
AKUSTISCHEAMPELOGD.351,POINT (16.36846592787863 48.17867155507127),10,Gudrunstr.-Alxingerg.,351,
AKUSTISCHEAMPELOGD.354,POINT (16.30849704331512 48.20521679975365),16,Huttengasse-Adolf-Czettel-Gasse/Opfermanngasse,354,
AKUSTISCHEAMPELOGD.355,POINT (16.378153643267893 48.18219197267489),10,Sonnwendgasse-ON 14,355,
AKUSTISCHEAMPELOGD.356,POINT (16.397430380479882 48.268080134023606),21,Horst Winter Promenade-Schutzweg Höhe SCN Strasse,356,
AKUSTISCHEAMPELOGD.357,POINT (16.349017661133253 48.22512799205785),18,Währinger Gürtel-Währinger Str.,357,
AKUSTISCHEAMPELOGD.358,POINT (16.338637769682197 48.21162417857953),16,Lerchenfelder Gürtel-Gaullachergasse,358,
AKUSTISCHEAMPELOGD.359,POINT (16.31322589242073 48.20740044743165),16,Gablenzgasse-Pfenninggeldg.,359,
AKUSTISCHEAMPELOGD.360,POINT (16.33910504933688 48.188121352333646),12,Sechshauser Gürtel-Burger King,360,
AKUSTISCHEAMPELOGD.361,POINT (16.264291072244987 48.19489507235081),14,Hadikg.-ON 312 / Park u Ride,361,
AKUSTISCHEAMPELOGD.362,POINT (16.461516779329077 48.17927464757918),,Seitenhafenstr.-Zufahrt Spetrans,362,
