FID,OBJECTID,SHAPE,GARAGE_ID,BETREIBER,BEZEICHNUNG,PLZ,ORT,ADRESSE,WEBLINK_BETR_DE,WEBLINK_BETR_EN,WEBLINK_WK_DE,WEBLINK_WK_EN,LONGITUDE,LATITUDE,PARK_AND_RIDE,BEHINDERTENPARKPL,SE_ANNO_CAD_DATA
GARAGENOGD.67034,67034,POINT (16.370890170767346 48.191688030263265),189-3-61,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Tiefgarage beim Theresianum,1040,Wien,Favoritenstrasse 36/Ecke Waltergasse 1,http://www.bestinparking.at/de/garage/wien/waltergasse-1-favoritenstrasse-36,http://www.bestinparking.at/de/garage/wien/waltergasse-1-favoritenstrasse-36,http://www.parkeninwien.at/garage-3-61.html,http://www.parkeninwien.at/en/garage-3-61.html,16.370899,48.191694,N,N,
GARAGENOGD.67035,67035,POINT (16.3735791554427 48.19450450286368),189-3-69,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Argentinierstrasse,1040,Wien,Argentinierstrasse 29,http://www.bestinparking.at/de/garage/wien/argentinierstrasse-29,http://www.bestinparking.at/de/garage/wien/argentinierstrasse-29,http://www.parkeninwien.at/garage-3-69.html,http://www.parkeninwien.at/en/garage-3-69.html,16.37333,48.194677,N,Y,
GARAGENOGD.67036,67036,POINT (16.35079237036609 48.182001006838924),189-3-71,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Tiefgarage Matteottihof,1050,Wien,Fendigasse 33,http://www.bestinparking.at/de/garage/wien/fendigasse-33,http://www.bestinparking.at/de/garage/wien/fendigasse-33,http://www.parkeninwien.at/garage-3-71.html,http://www.parkeninwien.at/en/garage-3-71.html,16.351294,48.182261,N,N,
GARAGENOGD.67037,67037,POINT (16.3617406670708 48.18999330068165),189-3-73,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Garage Mittersteig,1050,Wien,Mittersteig,http://www.bestinparking.at/de/garage/wien/mittersteig-26-28/ziegelofeng-21-23,http://www.bestinparking.at/de/garage/wien/mittersteig-26-28/ziegelofeng-21-23,http://www.parkeninwien.at/garage-3-73.html,http://www.parkeninwien.at/en/garage-3-73.html,16.362713,48.190668,N,Y,
GARAGENOGD.67038,67038,POINT (16.345461441052716 48.19770099815008),189-3-84,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Parkgarage Mariahilf beim C&A,1070,Wien,"Mariahilfer Strasse 96, Einfahrt Zieglergasse 3",http://www.bestinparking.at/de/garage/wien/mariahilferstrasse-96,http://www.bestinparking.at/de/garage/wien/mariahilferstrasse-96,http://www.parkeninwien.at/garage-3-84.html,http://www.parkeninwien.at/en/garage-3-84.html,16.345847,48.197291,N,Y,
GARAGENOGD.67039,67039,POINT (16.353048569915188 48.20075089872444),189-3-96,BIP Garagengesellschaft Breiteneder GmbH & Co KG,Parkgarage Gerngross,1070,Wien,Lindengasse 17,http://www.bestinparking.at/de/garage/wien/lindengasse-17-19,http://www.bestinparking.at/de/garage/wien/lindengasse-17-19,http://www.parkeninwien.at/garage-3-96.html,http://www.parkeninwien.at/en/garage-3-96.html,16.353057,48.200757,N,Y,
GARAGENOGD.67040,67040,POINT (16.3449668429838 48.21161978628355),189-3-99,"Hamerlingplatz Tiefgarage, Bau- und BetriebsgesmbH & Co KG",Hamerlingplatz Tiefgarage,1080,Wien,Hamerlingplatz,http://www.bestinparking.at/de/garage/wien/hamerlingplatz,http://www.bestinparking.at/de/garage/wien/hamerlingplatz,http://www.parkeninwien.at/garage-3-99.html,http://www.parkeninwien.at/en/garage-3-99.html,16.344976,48.211626,N,Y,
GARAGENOGD.67041,67041,POINT (16.339310530049865 48.19318828094835),189-30-81,Hotel IBIS,Parkhaus Mariahilf im Hotel Ibis,1060,Wien,Mariahilfer G¸rtel,,,http://www.parkeninwien.at/garage-30-81.html,http://www.parkeninwien.at/en/garage-30-81.html,16.338541,48.192158,N,Y,
GARAGENOGD.67042,67042,POINT (16.416799401647076 48.23188751066231),189-31-232,Hotel Kaiserwasser GmbH,Arcotel Kaiserwasser,1220,Wien,Wagramer Straﬂe 8,,,http://www.parkeninwien.at/garage-31-232.html,http://www.parkeninwien.at/en/garage-31-232.html,16.416808,48.231894,N,Y,
GARAGENOGD.67043,67043,POINT (16.36705312637519 48.21521974334664),189-32-3,IFM GmbH,Bˆrse-Garage,1010,Wien,Wipplingerstrasse 34,,,http://www.parkeninwien.at/garage-32-3.html,http://www.parkeninwien.at/en/garage-32-3.html,16.366376,48.214916,N,N,
